proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,trade_history_link,auto_trade_id
1467,1321,usr197@gt.edu,usr179@gt.edu,2022-04-15,2022-04-27,accepted,placeholder.com,773
1468,4542,usr197@gt.edu,usr615@gt.edu,2022-04-28,,unacccepted,placeholder.com,774
1469,1185,usr197@gt.edu,usr160@gt.edu,2022-05-25,,unacccepted,placeholder.com,775
1469,6238,usr197@gt.edu,usr838@gt.edu,2022-04-20,2022-05-17,rejected,placeholder.com,776
1472,2286,usr197@gt.edu,usr309@gt.edu,2022-05-13,2022-05-25,rejected,placeholder.com,777
1472,4719,usr197@gt.edu,usr639@gt.edu,2022-05-27,2022-05-30,accepted,placeholder.com,778
1475,1484,usr198@gt.edu,usr199@gt.edu,2022-05-17,2022-06-08,accepted,placeholder.com,779
1476,1761,usr198@gt.edu,usr236@gt.edu,2022-05-16,2022-05-23,rejected,placeholder.com,780
1477,4379,usr198@gt.edu,usr593@gt.edu,2022-04-18,2022-04-20,accepted,placeholder.com,781
1478,990,usr198@gt.edu,usr133@gt.edu,2022-04-25,2022-05-27,accepted,placeholder.com,782
1479,3829,usr198@gt.edu,usr517@gt.edu,2022-04-21,2022-04-28,accepted,placeholder.com,783
1481,3768,usr199@gt.edu,usr511@gt.edu,2022-04-29,2022-05-05,accepted,placeholder.com,784
1482,6177,usr199@gt.edu,usr829@gt.edu,2022-04-19,,unacccepted,placeholder.com,785
1485,4765,usr199@gt.edu,usr645@gt.edu,2022-05-02,2022-05-03,rejected,placeholder.com,786
1486,1041,usr199@gt.edu,usr141@gt.edu,2022-04-15,2022-04-20,rejected,placeholder.com,787
1486,3647,usr199@gt.edu,usr495@gt.edu,2022-06-07,,unacccepted,placeholder.com,788
1486,4985,usr199@gt.edu,usr673@gt.edu,2022-04-26,2022-05-31,rejected,placeholder.com,789
1489,6864,usr200@gt.edu,usr927@gt.edu,2022-04-25,2022-05-02,rejected,placeholder.com,790
1490,456,usr200@gt.edu,usr062@gt.edu,2022-04-15,2022-04-20,accepted,placeholder.com,791
1492,7326,usr200@gt.edu,usr987@gt.edu,2022-05-30,2022-06-10,rejected,placeholder.com,792
1493,933,usr200@gt.edu,usr125@gt.edu,2022-06-09,2022-06-14,accepted,placeholder.com,793
1493,5495,usr200@gt.edu,usr740@gt.edu,2022-05-18,2022-06-01,rejected,placeholder.com,794
1494,775,usr200@gt.edu,usr102@gt.edu,2022-04-19,2022-05-13,rejected,placeholder.com,795
1495,1096,usr200@gt.edu,usr147@gt.edu,2022-05-05,,unacccepted,placeholder.com,796
1496,1440,usr201@gt.edu,usr194@gt.edu,2022-04-18,2022-05-03,rejected,placeholder.com,797
1497,2264,usr201@gt.edu,usr306@gt.edu,2022-05-19,,unacccepted,placeholder.com,798
1498,4318,usr201@gt.edu,usr584@gt.edu,2022-05-05,2022-05-11,accepted,placeholder.com,799
1499,3696,usr201@gt.edu,usr502@gt.edu,2022-04-27,,unacccepted,placeholder.com,800
1501,7370,usr201@gt.edu,usr994@gt.edu,2022-04-15,2022-05-31,accepted,placeholder.com,801
1502,845,usr201@gt.edu,usr112@gt.edu,2022-04-21,2022-04-27,accepted,placeholder.com,802
1503,3538,usr201@gt.edu,usr481@gt.edu,2022-05-12,2022-05-17,accepted,placeholder.com,803
1505,6552,usr202@gt.edu,usr883@gt.edu,2022-04-19,2022-04-25,accepted,placeholder.com,804
1507,2680,usr202@gt.edu,usr362@gt.edu,2022-05-26,2022-06-14,rejected,placeholder.com,805
1507,6317,usr202@gt.edu,usr850@gt.edu,2022-04-22,2022-05-18,rejected,placeholder.com,806
1509,1014,usr203@gt.edu,usr138@gt.edu,2022-04-25,,unacccepted,placeholder.com,807
1510,3790,usr203@gt.edu,usr513@gt.edu,2022-06-01,,unacccepted,placeholder.com,808
1516,4618,usr203@gt.edu,usr626@gt.edu,2022-05-03,2022-05-04,accepted,placeholder.com,809
1517,1648,usr203@gt.edu,usr218@gt.edu,2022-05-20,2022-06-10,accepted,placeholder.com,810
1518,3983,usr203@gt.edu,usr537@gt.edu,2022-04-15,2022-05-04,accepted,placeholder.com,811
1522,1828,usr204@gt.edu,usr244@gt.edu,2022-04-21,2022-04-27,rejected,placeholder.com,812
1524,707,usr204@gt.edu,usr093@gt.edu,2022-04-15,2022-06-07,rejected,placeholder.com,813
1525,1641,usr204@gt.edu,usr217@gt.edu,2022-04-22,2022-05-02,accepted,placeholder.com,814
1526,2636,usr204@gt.edu,usr357@gt.edu,2022-04-25,2022-06-01,rejected,placeholder.com,815
1531,6109,usr205@gt.edu,usr821@gt.edu,2022-04-15,2022-05-02,rejected,placeholder.com,816
1533,1996,usr205@gt.edu,usr267@gt.edu,2022-05-20,,unacccepted,placeholder.com,817
1535,230,usr205@gt.edu,usr034@gt.edu,2022-04-18,2022-06-08,accepted,placeholder.com,818
1537,729,usr205@gt.edu,usr096@gt.edu,2022-04-26,2022-04-27,rejected,placeholder.com,819
1539,6723,usr205@gt.edu,usr905@gt.edu,2022-04-28,2022-06-01,rejected,placeholder.com,820
1541,6287,usr205@gt.edu,usr845@gt.edu,2022-05-18,2022-06-06,accepted,placeholder.com,821
1542,4607,usr206@gt.edu,usr624@gt.edu,2022-05-06,,unacccepted,placeholder.com,822
1544,422,usr206@gt.edu,usr057@gt.edu,2022-04-22,2022-06-06,accepted,placeholder.com,823
1545,3900,usr206@gt.edu,usr527@gt.edu,2022-05-02,2022-05-24,accepted,placeholder.com,824
1547,4198,usr206@gt.edu,usr567@gt.edu,2022-04-29,2022-05-13,rejected,placeholder.com,825
1548,2537,usr206@gt.edu,usr343@gt.edu,2022-06-02,2022-06-08,accepted,placeholder.com,826
1549,3854,usr206@gt.edu,usr520@gt.edu,2022-04-15,2022-05-19,accepted,placeholder.com,827
1554,5446,usr207@gt.edu,usr735@gt.edu,2022-04-21,2022-05-09,rejected,placeholder.com,828
1556,1921,usr207@gt.edu,usr257@gt.edu,2022-04-20,2022-04-21,rejected,placeholder.com,829
1556,5905,usr207@gt.edu,usr793@gt.edu,2022-05-03,,unacccepted,placeholder.com,830
1558,6324,usr207@gt.edu,usr851@gt.edu,2022-04-19,2022-04-22,accepted,placeholder.com,831
1560,635,usr208@gt.edu,usr086@gt.edu,2022-05-05,2022-05-16,accepted,placeholder.com,832
1561,1554,usr208@gt.edu,usr207@gt.edu,2022-05-10,2022-05-23,accepted,placeholder.com,833
1563,3072,usr208@gt.edu,usr410@gt.edu,2022-05-17,,unacccepted,placeholder.com,834
1564,5229,usr208@gt.edu,usr707@gt.edu,2022-05-03,2022-06-01,rejected,placeholder.com,835
1564,5819,usr208@gt.edu,usr781@gt.edu,2022-06-09,,unacccepted,placeholder.com,836
1567,3460,usr209@gt.edu,usr468@gt.edu,2022-04-18,2022-05-31,accepted,placeholder.com,837
1568,5580,usr209@gt.edu,usr751@gt.edu,2022-05-11,2022-05-17,rejected,placeholder.com,838
1569,2996,usr209@gt.edu,usr400@gt.edu,2022-05-04,2022-06-09,accepted,placeholder.com,839
1570,2789,usr209@gt.edu,usr375@gt.edu,2022-04-28,2022-05-06,rejected,placeholder.com,840
1570,5992,usr209@gt.edu,usr804@gt.edu,2022-05-12,2022-05-25,rejected,placeholder.com,841
1573,3071,usr210@gt.edu,usr410@gt.edu,2022-04-21,2022-05-02,accepted,placeholder.com,842
1574,1367,usr210@gt.edu,usr185@gt.edu,2022-06-07,,unacccepted,placeholder.com,843
1575,2906,usr210@gt.edu,usr389@gt.edu,2022-04-20,2022-05-25,accepted,placeholder.com,844
1576,988,usr210@gt.edu,usr133@gt.edu,2022-04-15,2022-05-05,accepted,placeholder.com,845
1577,570,usr210@gt.edu,usr079@gt.edu,2022-04-18,2022-04-28,rejected,placeholder.com,846
1577,1795,usr210@gt.edu,usr240@gt.edu,2022-05-02,2022-05-06,rejected,placeholder.com,847
1579,2351,usr210@gt.edu,usr317@gt.edu,2022-04-19,2022-04-21,accepted,placeholder.com,848
1580,2702,usr211@gt.edu,usr364@gt.edu,2022-04-21,2022-05-06,accepted,placeholder.com,849
1584,67,usr211@gt.edu,usr009@gt.edu,2022-04-22,2022-05-26,accepted,placeholder.com,850
1587,3657,usr212@gt.edu,usr497@gt.edu,2022-05-06,2022-06-14,accepted,placeholder.com,851
1588,5935,usr212@gt.edu,usr797@gt.edu,2022-06-02,,unacccepted,placeholder.com,852
1589,252,usr212@gt.edu,usr037@gt.edu,2022-04-21,2022-04-26,accepted,placeholder.com,853
1590,2608,usr212@gt.edu,usr354@gt.edu,2022-05-17,2022-05-20,accepted,placeholder.com,854
1591,5581,usr212@gt.edu,usr751@gt.edu,2022-04-19,2022-05-05,rejected,placeholder.com,855
1592,4337,usr212@gt.edu,usr586@gt.edu,2022-04-20,2022-05-30,rejected,placeholder.com,856
1592,4872,usr212@gt.edu,usr658@gt.edu,2022-06-03,,unacccepted,placeholder.com,857
1593,3263,usr212@gt.edu,usr440@gt.edu,2022-04-18,,unacccepted,placeholder.com,858
1594,164,usr213@gt.edu,usr024@gt.edu,2022-05-31,2022-06-08,rejected,placeholder.com,859
1595,5908,usr213@gt.edu,usr794@gt.edu,2022-04-18,,unacccepted,placeholder.com,860
1598,7391,usr213@gt.edu,usr996@gt.edu,2022-05-16,2022-06-02,rejected,placeholder.com,861
1600,1356,usr213@gt.edu,usr184@gt.edu,2022-05-23,,unacccepted,placeholder.com,862
1602,354,usr213@gt.edu,usr050@gt.edu,2022-04-21,2022-04-29,accepted,placeholder.com,863
1606,2674,usr214@gt.edu,usr361@gt.edu,2022-04-29,2022-05-31,rejected,placeholder.com,864
1607,4827,usr214@gt.edu,usr652@gt.edu,2022-06-13,,unacccepted,placeholder.com,865
1612,6729,usr214@gt.edu,usr907@gt.edu,2022-04-21,2022-05-17,accepted,placeholder.com,866
1617,3534,usr215@gt.edu,usr480@gt.edu,2022-04-19,2022-05-12,rejected,placeholder.com,867
1619,3991,usr215@gt.edu,usr538@gt.edu,2022-05-25,2022-06-01,rejected,placeholder.com,868
1622,2609,usr215@gt.edu,usr354@gt.edu,2022-04-15,2022-04-26,rejected,placeholder.com,869
1623,6343,usr216@gt.edu,usr853@gt.edu,2022-05-23,,unacccepted,placeholder.com,870
1625,3839,usr216@gt.edu,usr518@gt.edu,2022-05-27,,unacccepted,placeholder.com,871
1626,4814,usr216@gt.edu,usr651@gt.edu,2022-04-27,2022-05-09,accepted,placeholder.com,872
1630,289,usr216@gt.edu,usr042@gt.edu,2022-04-28,2022-05-30,rejected,placeholder.com,873
1630,2883,usr216@gt.edu,usr387@gt.edu,2022-06-07,2022-06-09,accepted,placeholder.com,874
1632,754,usr216@gt.edu,usr098@gt.edu,2022-04-18,2022-05-03,rejected,placeholder.com,875
1636,5391,usr217@gt.edu,usr728@gt.edu,2022-04-25,2022-05-04,accepted,placeholder.com,876
1639,173,usr217@gt.edu,usr026@gt.edu,2022-04-28,,unacccepted,placeholder.com,877
1640,4953,usr217@gt.edu,usr668@gt.edu,2022-04-21,2022-06-01,accepted,placeholder.com,878
1645,4166,usr217@gt.edu,usr563@gt.edu,2022-04-20,2022-04-29,accepted,placeholder.com,879
1646,417,usr218@gt.edu,usr057@gt.edu,2022-04-15,2022-04-21,rejected,placeholder.com,880
1646,6073,usr218@gt.edu,usr815@gt.edu,2022-04-21,,unacccepted,placeholder.com,881
1647,4058,usr218@gt.edu,usr549@gt.edu,2022-04-26,2022-05-17,accepted,placeholder.com,882
1649,5082,usr218@gt.edu,usr685@gt.edu,2022-05-20,,unacccepted,placeholder.com,883
1651,1327,usr218@gt.edu,usr180@gt.edu,2022-04-27,2022-05-26,rejected,placeholder.com,884
1654,462,usr219@gt.edu,usr063@gt.edu,2022-04-27,,unacccepted,placeholder.com,885
1654,5718,usr219@gt.edu,usr769@gt.edu,2022-04-21,2022-04-27,rejected,placeholder.com,886
1661,3678,usr220@gt.edu,usr500@gt.edu,2022-05-16,,unacccepted,placeholder.com,887
1662,3227,usr220@gt.edu,usr433@gt.edu,2022-04-25,,unacccepted,placeholder.com,888
1663,851,usr220@gt.edu,usr113@gt.edu,2022-04-18,2022-05-26,rejected,placeholder.com,889
1663,1305,usr220@gt.edu,usr178@gt.edu,2022-05-26,,unacccepted,placeholder.com,890
1665,4024,usr220@gt.edu,usr544@gt.edu,2022-05-05,,unacccepted,placeholder.com,891
1666,7312,usr220@gt.edu,usr986@gt.edu,2022-05-11,,unacccepted,placeholder.com,892
1669,2215,usr220@gt.edu,usr298@gt.edu,2022-04-27,2022-05-10,rejected,placeholder.com,893
1670,2117,usr220@gt.edu,usr284@gt.edu,2022-04-19,2022-05-02,accepted,placeholder.com,894
1671,378,usr221@gt.edu,usr052@gt.edu,2022-05-10,2022-05-17,accepted,placeholder.com,895
1672,6259,usr221@gt.edu,usr841@gt.edu,2022-04-18,2022-04-28,accepted,placeholder.com,896
1673,5853,usr221@gt.edu,usr786@gt.edu,2022-04-15,2022-04-26,accepted,placeholder.com,897
1675,1001,usr221@gt.edu,usr135@gt.edu,2022-04-27,2022-06-07,rejected,placeholder.com,898
1676,6611,usr222@gt.edu,usr891@gt.edu,2022-04-26,2022-05-04,rejected,placeholder.com,899
1677,5633,usr222@gt.edu,usr757@gt.edu,2022-04-21,2022-05-09,accepted,placeholder.com,900
1678,4397,usr222@gt.edu,usr595@gt.edu,2022-05-11,,unacccepted,placeholder.com,901
1679,5974,usr222@gt.edu,usr803@gt.edu,2022-04-15,,unacccepted,placeholder.com,902
1684,1249,usr222@gt.edu,usr169@gt.edu,2022-05-12,2022-05-26,accepted,placeholder.com,903
1686,3429,usr223@gt.edu,usr463@gt.edu,2022-04-22,2022-05-06,accepted,placeholder.com,904
1688,6231,usr223@gt.edu,usr837@gt.edu,2022-04-19,2022-05-23,accepted,placeholder.com,905
1693,4567,usr224@gt.edu,usr618@gt.edu,2022-04-15,,unacccepted,placeholder.com,906
1694,2585,usr224@gt.edu,usr351@gt.edu,2022-04-22,2022-05-10,rejected,placeholder.com,907
1695,5916,usr224@gt.edu,usr795@gt.edu,2022-05-10,,unacccepted,placeholder.com,908
1696,1471,usr224@gt.edu,usr197@gt.edu,2022-05-05,2022-05-23,rejected,placeholder.com,909
1698,184,usr225@gt.edu,usr027@gt.edu,2022-04-15,2022-06-06,accepted,placeholder.com,910
1702,6870,usr226@gt.edu,usr928@gt.edu,2022-05-02,2022-05-10,rejected,placeholder.com,911
1703,3653,usr226@gt.edu,usr496@gt.edu,2022-05-11,,unacccepted,placeholder.com,912
1704,1745,usr226@gt.edu,usr232@gt.edu,2022-04-18,2022-04-21,rejected,placeholder.com,913
1705,162,usr226@gt.edu,usr024@gt.edu,2022-05-27,,unacccepted,placeholder.com,914
1706,3562,usr227@gt.edu,usr483@gt.edu,2022-04-20,,unacccepted,placeholder.com,915
1707,3307,usr227@gt.edu,usr446@gt.edu,2022-06-14,,unacccepted,placeholder.com,916
1710,2719,usr228@gt.edu,usr366@gt.edu,2022-05-04,2022-05-23,accepted,placeholder.com,917
1712,2616,usr228@gt.edu,usr355@gt.edu,2022-05-03,2022-05-26,accepted,placeholder.com,918
1716,403,usr228@gt.edu,usr055@gt.edu,2022-04-19,2022-05-26,rejected,placeholder.com,919
1720,6631,usr228@gt.edu,usr895@gt.edu,2022-04-15,2022-04-21,accepted,placeholder.com,920
1722,2969,usr229@gt.edu,usr396@gt.edu,2022-05-16,2022-05-27,rejected,placeholder.com,921
1724,3326,usr229@gt.edu,usr449@gt.edu,2022-04-15,,unacccepted,placeholder.com,922
1725,5969,usr229@gt.edu,usr802@gt.edu,2022-04-21,2022-05-16,rejected,placeholder.com,923
1728,1894,usr230@gt.edu,usr253@gt.edu,2022-05-25,2022-05-27,accepted,placeholder.com,924
1728,2514,usr230@gt.edu,usr340@gt.edu,2022-04-18,2022-04-20,rejected,placeholder.com,925
1729,2263,usr230@gt.edu,usr306@gt.edu,2022-04-15,2022-06-08,rejected,placeholder.com,926
1731,233,usr231@gt.edu,usr035@gt.edu,2022-05-12,2022-05-17,accepted,placeholder.com,927
1732,2900,usr231@gt.edu,usr389@gt.edu,2022-05-11,2022-05-25,rejected,placeholder.com,928
1733,4490,usr231@gt.edu,usr608@gt.edu,2022-04-19,2022-05-12,accepted,placeholder.com,929
1735,373,usr231@gt.edu,usr052@gt.edu,2022-06-13,,unacccepted,placeholder.com,930
1736,1552,usr231@gt.edu,usr207@gt.edu,2022-05-03,2022-05-04,accepted,placeholder.com,931
1739,3210,usr231@gt.edu,usr430@gt.edu,2022-05-16,2022-05-18,rejected,placeholder.com,932
1744,5255,usr232@gt.edu,usr711@gt.edu,2022-04-21,2022-05-04,accepted,placeholder.com,933
1747,4587,usr232@gt.edu,usr620@gt.edu,2022-04-22,2022-04-26,accepted,placeholder.com,934
1749,2766,usr233@gt.edu,usr372@gt.edu,2022-05-10,,unacccepted,placeholder.com,935
1750,1565,usr233@gt.edu,usr208@gt.edu,2022-04-21,2022-05-25,accepted,placeholder.com,936
1751,6212,usr234@gt.edu,usr835@gt.edu,2022-04-25,2022-06-03,accepted,placeholder.com,937
1752,2203,usr234@gt.edu,usr297@gt.edu,2022-04-18,2022-04-19,accepted,placeholder.com,938
1753,5875,usr234@gt.edu,usr790@gt.edu,2022-04-15,2022-05-09,accepted,placeholder.com,939
1754,762,usr234@gt.edu,usr100@gt.edu,2022-05-17,2022-05-23,accepted,placeholder.com,940
1755,258,usr235@gt.edu,usr038@gt.edu,2022-04-18,2022-05-26,rejected,placeholder.com,941
1755,5828,usr235@gt.edu,usr782@gt.edu,2022-05-27,2022-06-01,accepted,placeholder.com,942
1756,168,usr235@gt.edu,usr024@gt.edu,2022-04-25,2022-05-27,rejected,placeholder.com,943
1762,6540,usr236@gt.edu,usr881@gt.edu,2022-05-18,,unacccepted,placeholder.com,944
1763,6571,usr236@gt.edu,usr886@gt.edu,2022-04-15,,unacccepted,placeholder.com,945
1765,3516,usr236@gt.edu,usr477@gt.edu,2022-05-23,2022-05-27,accepted,placeholder.com,946
1766,3630,usr236@gt.edu,usr494@gt.edu,2022-05-05,2022-05-16,accepted,placeholder.com,947
1768,674,usr236@gt.edu,usr090@gt.edu,2022-04-20,2022-05-12,accepted,placeholder.com,948
1771,2955,usr237@gt.edu,usr395@gt.edu,2022-06-14,,unacccepted,placeholder.com,949
1773,774,usr237@gt.edu,usr102@gt.edu,2022-04-29,2022-05-04,rejected,placeholder.com,950
1773,6920,usr237@gt.edu,usr934@gt.edu,2022-05-05,,unacccepted,placeholder.com,951
1774,4312,usr237@gt.edu,usr583@gt.edu,2022-05-06,2022-05-19,accepted,placeholder.com,952
1775,5474,usr237@gt.edu,usr738@gt.edu,2022-05-09,2022-05-18,accepted,placeholder.com,953
1780,6923,usr238@gt.edu,usr934@gt.edu,2022-04-22,2022-05-04,accepted,placeholder.com,954
1781,6711,usr238@gt.edu,usr904@gt.edu,2022-04-15,2022-05-16,accepted,placeholder.com,955
1782,2384,usr238@gt.edu,usr321@gt.edu,2022-05-24,,unacccepted,placeholder.com,956
1782,2959,usr238@gt.edu,usr395@gt.edu,2022-04-20,2022-05-18,rejected,placeholder.com,957
1788,7090,usr239@gt.edu,usr955@gt.edu,2022-04-20,2022-05-03,accepted,placeholder.com,958
1790,4009,usr239@gt.edu,usr540@gt.edu,2022-04-22,2022-05-13,accepted,placeholder.com,959
1791,6548,usr239@gt.edu,usr882@gt.edu,2022-04-21,2022-06-01,accepted,placeholder.com,960
1794,2306,usr239@gt.edu,usr312@gt.edu,2022-06-13,,unacccepted,placeholder.com,961
1794,6963,usr239@gt.edu,usr939@gt.edu,2022-04-28,2022-06-13,rejected,placeholder.com,962
1796,4503,usr240@gt.edu,usr611@gt.edu,2022-05-13,2022-05-19,rejected,placeholder.com,963
1797,4031,usr240@gt.edu,usr544@gt.edu,2022-06-06,,unacccepted,placeholder.com,964
1799,3602,usr240@gt.edu,usr489@gt.edu,2022-04-18,2022-05-04,accepted,placeholder.com,965
1802,939,usr240@gt.edu,usr126@gt.edu,2022-06-08,,unacccepted,placeholder.com,966
1805,5925,usr240@gt.edu,usr796@gt.edu,2022-05-02,2022-05-25,rejected,placeholder.com,967
1806,7418,usr241@gt.edu,usr999@gt.edu,2022-04-22,2022-04-27,rejected,placeholder.com,968
1807,6769,usr241@gt.edu,usr914@gt.edu,2022-05-19,2022-05-23,accepted,placeholder.com,969
1808,7104,usr241@gt.edu,usr958@gt.edu,2022-04-21,2022-05-05,accepted,placeholder.com,970
1810,3346,usr241@gt.edu,usr451@gt.edu,2022-05-13,,unacccepted,placeholder.com,971
1812,180,usr241@gt.edu,usr027@gt.edu,2022-04-26,,unacccepted,placeholder.com,972
1813,3714,usr241@gt.edu,usr504@gt.edu,2022-04-19,2022-04-26,rejected,placeholder.com,973
1814,4524,usr242@gt.edu,usr612@gt.edu,2022-05-25,2022-06-02,rejected,placeholder.com,974
1817,3605,usr242@gt.edu,usr490@gt.edu,2022-04-21,,unacccepted,placeholder.com,975
1819,3730,usr242@gt.edu,usr506@gt.edu,2022-05-19,,unacccepted,placeholder.com,976
1821,676,usr242@gt.edu,usr090@gt.edu,2022-06-08,,unacccepted,placeholder.com,977
1823,4676,usr242@gt.edu,usr633@gt.edu,2022-06-14,,unacccepted,placeholder.com,978
1824,163,usr243@gt.edu,usr024@gt.edu,2022-05-26,,unacccepted,placeholder.com,979
1824,5716,usr243@gt.edu,usr769@gt.edu,2022-04-15,2022-05-05,rejected,placeholder.com,980
1825,6243,usr243@gt.edu,usr838@gt.edu,2022-04-18,2022-04-27,rejected,placeholder.com,981
1826,1399,usr243@gt.edu,usr188@gt.edu,2022-05-02,2022-06-13,rejected,placeholder.com,982
1827,4522,usr244@gt.edu,usr612@gt.edu,2022-04-15,2022-04-26,accepted,placeholder.com,983
1828,7020,usr244@gt.edu,usr946@gt.edu,2022-05-26,2022-05-30,accepted,placeholder.com,984
1829,5607,usr244@gt.edu,usr754@gt.edu,2022-04-19,2022-05-18,accepted,placeholder.com,985
1831,605,usr245@gt.edu,usr083@gt.edu,2022-04-15,2022-04-28,rejected,placeholder.com,986
1839,6890,usr245@gt.edu,usr930@gt.edu,2022-04-26,2022-05-04,accepted,placeholder.com,987
1842,5002,usr246@gt.edu,usr675@gt.edu,2022-04-20,2022-05-10,accepted,placeholder.com,988
1847,1900,usr246@gt.edu,usr255@gt.edu,2022-05-30,,unacccepted,placeholder.com,989
1848,6101,usr246@gt.edu,usr819@gt.edu,2022-05-13,,unacccepted,placeholder.com,990
1850,4577,usr247@gt.edu,usr619@gt.edu,2022-04-29,,unacccepted,placeholder.com,991
1851,1870,usr247@gt.edu,usr249@gt.edu,2022-04-18,2022-04-20,rejected,placeholder.com,992
1851,2334,usr247@gt.edu,usr315@gt.edu,2022-04-21,2022-04-26,rejected,placeholder.com,993
1853,5297,usr247@gt.edu,usr715@gt.edu,2022-04-22,2022-04-26,accepted,placeholder.com,994
1854,6982,usr247@gt.edu,usr941@gt.edu,2022-05-13,,unacccepted,placeholder.com,995
1859,1048,usr248@gt.edu,usr142@gt.edu,2022-05-19,2022-05-24,rejected,placeholder.com,996
1860,688,usr248@gt.edu,usr092@gt.edu,2022-05-05,,unacccepted,placeholder.com,997
1861,5501,usr248@gt.edu,usr741@gt.edu,2022-04-19,2022-04-21,accepted,placeholder.com,998
1868,1441,usr249@gt.edu,usr194@gt.edu,2022-05-02,2022-06-01,accepted,placeholder.com,999
1871,4735,usr249@gt.edu,usr640@gt.edu,2022-04-15,2022-05-04,accepted,placeholder.com,1000
1872,7082,usr249@gt.edu,usr953@gt.edu,2022-04-18,,unacccepted,placeholder.com,1001
1873,6036,usr249@gt.edu,usr811@gt.edu,2022-04-20,2022-05-26,rejected,placeholder.com,1002
1874,588,usr249@gt.edu,usr081@gt.edu,2022-05-05,2022-05-27,rejected,placeholder.com,1003
1875,503,usr250@gt.edu,usr068@gt.edu,2022-04-19,2022-05-17,accepted,placeholder.com,1004
1876,1757,usr250@gt.edu,usr235@gt.edu,2022-04-18,2022-05-16,accepted,placeholder.com,1005
1877,2581,usr250@gt.edu,usr350@gt.edu,2022-05-05,,unacccepted,placeholder.com,1006
1878,5780,usr251@gt.edu,usr777@gt.edu,2022-04-15,2022-05-24,accepted,placeholder.com,1007
1881,420,usr251@gt.edu,usr057@gt.edu,2022-04-26,2022-04-29,rejected,placeholder.com,1008
1881,767,usr251@gt.edu,usr101@gt.edu,2022-05-10,2022-05-13,accepted,placeholder.com,1009
1883,6523,usr252@gt.edu,usr879@gt.edu,2022-04-19,2022-05-24,accepted,placeholder.com,1010
1884,4565,usr252@gt.edu,usr618@gt.edu,2022-04-18,2022-05-18,rejected,placeholder.com,1011
1886,11,usr253@gt.edu,usr003@gt.edu,2022-05-30,,unacccepted,placeholder.com,1012
1887,2420,usr253@gt.edu,usr327@gt.edu,2022-04-21,2022-05-27,accepted,placeholder.com,1013
1891,5707,usr253@gt.edu,usr767@gt.edu,2022-04-19,,unacccepted,placeholder.com,1014
1894,3202,usr253@gt.edu,usr429@gt.edu,2022-04-25,2022-05-06,rejected,placeholder.com,1015
1896,2782,usr254@gt.edu,usr374@gt.edu,2022-04-19,2022-05-05,rejected,placeholder.com,1016
1897,2838,usr254@gt.edu,usr381@gt.edu,2022-04-15,2022-05-13,accepted,placeholder.com,1017
1898,5056,usr254@gt.edu,usr682@gt.edu,2022-05-23,,unacccepted,placeholder.com,1018
1900,2705,usr255@gt.edu,usr364@gt.edu,2022-04-20,2022-04-27,rejected,placeholder.com,1019
1902,821,usr255@gt.edu,usr109@gt.edu,2022-06-07,2022-06-10,rejected,placeholder.com,1020
1902,7142,usr255@gt.edu,usr962@gt.edu,2022-04-27,2022-05-10,rejected,placeholder.com,1021
1908,300,usr255@gt.edu,usr043@gt.edu,2022-04-22,2022-05-02,accepted,placeholder.com,1022
1913,6493,usr256@gt.edu,usr876@gt.edu,2022-04-18,,unacccepted,placeholder.com,1023
1914,7405,usr256@gt.edu,usr998@gt.edu,2022-04-15,2022-04-28,accepted,placeholder.com,1024
1916,3295,usr256@gt.edu,usr445@gt.edu,2022-04-28,,unacccepted,placeholder.com,1025
1917,6024,usr256@gt.edu,usr809@gt.edu,2022-06-01,,unacccepted,placeholder.com,1026
1918,1975,usr256@gt.edu,usr265@gt.edu,2022-05-05,,unacccepted,placeholder.com,1027
1920,2048,usr257@gt.edu,usr274@gt.edu,2022-05-09,2022-05-10,rejected,placeholder.com,1028
1920,3574,usr257@gt.edu,usr485@gt.edu,2022-05-27,2022-06-07,rejected,placeholder.com,1029
1926,3772,usr257@gt.edu,usr511@gt.edu,2022-04-18,2022-06-10,rejected,placeholder.com,1030
1928,6557,usr258@gt.edu,usr883@gt.edu,2022-04-15,2022-05-03,accepted,placeholder.com,1031
1931,1183,usr258@gt.edu,usr159@gt.edu,2022-04-19,2022-05-31,rejected,placeholder.com,1032
1935,2085,usr259@gt.edu,usr279@gt.edu,2022-04-15,2022-04-21,rejected,placeholder.com,1033
1937,3242,usr260@gt.edu,usr436@gt.edu,2022-05-10,2022-05-19,accepted,placeholder.com,1034
1938,6646,usr260@gt.edu,usr897@gt.edu,2022-04-15,2022-06-06,accepted,placeholder.com,1035
1940,5899,usr260@gt.edu,usr792@gt.edu,2022-05-16,2022-05-27,accepted,placeholder.com,1036
1941,7417,usr260@gt.edu,usr999@gt.edu,2022-06-09,,unacccepted,placeholder.com,1037
1942,593,usr260@gt.edu,usr081@gt.edu,2022-05-30,,unacccepted,placeholder.com,1038
1943,394,usr261@gt.edu,usr054@gt.edu,2022-04-29,2022-05-06,rejected,placeholder.com,1039
1948,7263,usr261@gt.edu,usr980@gt.edu,2022-04-15,,unacccepted,placeholder.com,1040
