item_number	title	condition	description	email	type	card_count	platform	media
2111	Stronghold	Moderately Used		usr283@gt.edu	Computer Game		Windows	
2112	Addiction Pinball	Heavily Used		usr283@gt.edu	Computer Game		macOS	
2113	Battleground 9: Chickamauga	Moderately Used	TalonSoft	usr283@gt.edu	Computer Game		Windows	
2114	Phalanx	Lightly Used	Simulations Publications, Inc.  1971	usr283@gt.edu	Board Game			
2115	Veto! 	Unopened	Krakowska Grupa Kreatywna   	usr283@gt.edu	Collectible Card Game	401		
2116	Age of Wonders III	Lightly Used	Triumph Studios	usr284@gt.edu	Computer Game		Windows	
2117	NFL Blitz 2000	Unopened	Midway Games   Midway Home Entertainment	usr284@gt.edu	Video Game		Nintendo	Game card
2118	BioShock Infinite	Moderately Used	Irrational Games   2K Games	usr284@gt.edu	Computer Game		Windows	
2119	NBA Live 99	Damaged/Missing parts	EA Canada   	usr284@gt.edu	Video Game		Nintendo	Optical disc
2120	Blue Planet Software	Damaged/Missing parts	Nintendo   Puzzle/Stacking	usr284@gt.edu	Video Game		Nintendo	Game card
2121	Eurocom	Heavily Used	Midway Home EntertainmentNA   	usr284@gt.edu	Video Game		Nintendo	Game card
2122	Black Skylands	Damaged/Missing parts	Hungry Couch Games   tinyBuild	usr284@gt.edu	Computer Game		Windows	
2123	Xiaolin Showdown Trading Card Game 	Lightly Used	Wizards of the Coast   	usr284@gt.edu	Collectible Card Game	544		
2124	Monopoly	Unopened	Mind's Eye Productions   Hasbro Interactive	usr284@gt.edu	Video Game		Nintendo	Optical disc
2125	Tank Commander 	Lightly Used		usr284@gt.edu	Collectible Card Game	724		
2126	Europa Universalis IV	Heavily Used		usr284@gt.edu	Computer Game		Windows	
2127	StarDrive	Like New	Zero Sum Games   Iceberg Interactive	usr285@gt.edu	Computer Game		Windows	
2128	Dragon Quest TCG	Like New		usr285@gt.edu	Collectible Card Game	21		
2129	Pokemon Stadium 2JP	Heavily Used		usr285@gt.edu	Video Game		Nintendo	Optical disc
2130	Amnesia: A Machine for Pigs	Like New		usr285@gt.edu	Computer Game		macOS	
2131	Le Truc (2 players)	Damaged/Missing parts	This out-of-the-ordinary betting/bluffing/trick-taking game is a 19th century French game using a 32 card deck, and was especially popularized after inclusion in Sid Sackson's Gamut of Games	usr285@gt.edu	Playing Card Game			
2132	Stellar Monarch	Moderately Used	Silver Lemur Games	usr285@gt.edu	Computer Game		macOS	
2133	Tock	Like New	Quebec, Canada  Cards played from a hand of standard playing cards	usr285@gt.edu	Board Game			
2134	Monster Hunter Frontier G6	Lightly Used	Action role-playing, Expansion   Capcom	usr285@gt.edu	Video Game		Xbox	Game card
2135	HAL Laboratory	Heavily Used	Nintendo   Action/Turn-Based Battle	usr285@gt.edu	Video Game		Nintendo	Game card
2136	Mahjong * Dream C Club	Lightly Used	Puzzle Game   D3Publisher	usr285@gt.edu	Video Game		Xbox	Cartridge
2137	UniVersus (AKA Universal Fighting System)	Unopened	Sabertooth Games/Fantasy Flight Games/Jasco Games   	usr285@gt.edu	Collectible Card Game	681		
2138	Medal of Honor	Unopened		usr285@gt.edu	Video Game		Xbox	Optical disc
2139	Marathon: Durandal	Lightly Used	Action & Adventure   Freeverse	usr286@gt.edu	Video Game		Xbox	Game card
2140	Automation - The Car Company Tycoon Game	Like New	Camshaft Software	usr286@gt.edu	Computer Game		Windows	
2141	Majin and the Forsaken Kingdom	Heavily Used	Action-adventure, Puzzle, Platformer   Game Republic	usr286@gt.edu	Video Game		Xbox	Game card
2142	Anno 2205	Moderately Used	Blue Byte   Ubisoft	usr286@gt.edu	Computer Game		macOS	
2143	Jikkyou Powerful Pro Yakyuu 2014	Like New	Konami   October 23, 2014	usr287@gt.edu	Video Game		PlayStation	Cartridge
2144	Marathon: Durandal	Damaged/Missing parts	Action & Adventure   Freeverse	usr287@gt.edu	Video Game		Xbox	Game card
2145	Nushi Tsuri 64: Shiokaze Ni Notte	Unopened	Victor Interactive Software   Victor Interactive Software	usr287@gt.edu	Video Game		Nintendo	Game card
2146	Africa Trail	Heavily Used	MECC   The Learning Company	usr287@gt.edu	Computer Game		Windows	
2147	Pixel Piracy	Lightly Used	Quadro Delta   Re-Logic	usr287@gt.edu	Computer Game		Linux	
2148	Monopoly	Unopened	Mind's Eye Productions   Hasbro Interactive	usr287@gt.edu	Video Game		Nintendo	Optical disc
2149	"Guardians	"	Damaged/Missing parts	FPG Inc.   	usr288@gt.edu	Collectible Card Game	140		
2150	Just Cause 2	Like New	Avalanche Studios   	usr288@gt.edu	Video Game		PlayStation	Cartridge
2151	Bleach Soul Card Battle	Unopened	Bandai   	usr288@gt.edu	Collectible Card Game	63		
2152	Paradigm Simulation	Heavily Used	Nintendo   Simulation/Flight	usr289@gt.edu	Video Game		Nintendo	Game card
2153	A Chair in a Room: Greenwater	Damaged/Missing parts	Wolf & Wood Interactive Ltd	usr289@gt.edu	Computer Game		macOS	
2154	Hercules: The Legendary Journeys 	Moderately Used	Wizards of the Coast   	usr289@gt.edu	Collectible Card Game	101		
2155	Hellenes: Campaigns of the Peloponnesian War	Lightly Used	GMT Games  2009	usr289@gt.edu	Board Game			
2156	Bratz Fashion Party Fever Game	Unopened	Upper Deck   	usr289@gt.edu	Collectible Card Game	228		
2157	Advent Rising	Damaged/Missing parts	GlyphX Games   Majesco Entertainment	usr289@gt.edu	Computer Game		Windows	
2158	Heresy: Kingdom Come	Damaged/Missing parts	Last Unicorn Games   	usr289@gt.edu	Collectible Card Game	111		
2159	Star Citizen	Moderately Used	Cloud Imperium Games Corporation	usr289@gt.edu	Computer Game		Windows	
2160	Jyhad (AKA Vampire: The Eternal Struggle)	Heavily Used	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr289@gt.edu	Collectible Card Game	145		
2161	Parques	Heavily Used	Colombia  Two six-sided dice	usr289@gt.edu	Board Game			
2162	Jyhad (AKA Vampire: The Eternal Struggle)	Heavily Used	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr290@gt.edu	Collectible Card Game	145		
2163	Adrift (video game)	Like New		usr290@gt.edu	Computer Game		Linux	
2164	Don: Continuing Criminal Enterprise 	Heavily Used	MythIntentions LLC   	usr290@gt.edu	Collectible Card Game	52		
2165	Empire: Total War	Damaged/Missing parts	The Creative Assembly, Feral Interactive   Sega, Feral Interactive	usr290@gt.edu	Computer Game		Windows	
2166	Aces of the Galaxy	Moderately Used	Artech Digital Entertainment   Vivendi Games	usr290@gt.edu	Computer Game		Windows	
2167	Jet Set Radio	Damaged/Missing parts	Smilebit   February 20, 2013	usr291@gt.edu	Video Game		PlayStation	Cartridge
2168	Dragon Dynasty Collectible Card Game	Moderately Used	Romancing Cathay   	usr291@gt.edu	Collectible Card Game	628		
2169	Mad Tracks	Moderately Used	Racing & Flying   Load	usr291@gt.edu	Video Game		Xbox	Game card
2170	"Guardians	"	Moderately Used		usr291@gt.edu	Collectible Card Game	140		
2171	Battle Spirits 	Like New	Bandai   	usr291@gt.edu	Collectible Card Game	430		
2172	Hellenes: Campaigns of the Peloponnesian War	Lightly Used	GMT Games  2009	usr292@gt.edu	Board Game			
2173	Dinosaur King	Lightly Used	Upper Deck   	usr292@gt.edu	Collectible Card Game	580		
2174	RockMan Dash: Hagane no BoukenshinJP	Moderately Used	Capcom Production Studio 2   Capcom	usr292@gt.edu	Video Game		Nintendo	Optical disc
2175	Dixie	Heavily Used	Columbia Games   	usr292@gt.edu	Collectible Card Game	745		
2176	Game Designers' Workshop	Moderately Used	1978  	usr292@gt.edu	Board Game			
2177	Parchis	Damaged/Missing parts	Spain  Single six-sided die	usr293@gt.edu	Board Game			
2178	Battlestar Galactica Collectible Card Game	Lightly Used	WizKids   	usr293@gt.edu	Collectible Card Game	411		
2179	Jeopardy!	Lightly Used		usr293@gt.edu	Video Game		PlayStation	Game card
2180	Axis Assassin	Unopened	Electronic Arts	usr293@gt.edu	Computer Game		Windows	
2181	NBA In The Zone 2000	Damaged/Missing parts	KCEO   Konami	usr293@gt.edu	Video Game		Nintendo	Game card
2182	Amnesia: A Machine for Pigs	Lightly Used	The Chinese Room   Frictional Games	usr294@gt.edu	Computer Game		macOS	
2183	NHL Breakaway 98	Lightly Used	Iguana Entertainment   Acclaim Sports	usr294@gt.edu	Video Game		Nintendo	Game card
2184	Devacurse Trading Card Game 	Unopened	Gandharvas Studio   	usr294@gt.edu	Collectible Card Game	291		
2185	Age of Empires II: The African Kingdoms	Unopened	Ensemble Studios   Microsoft Game Studios	usr294@gt.edu	Computer Game		Windows	
2186	Hannibal: The Second Punic War	Damaged/Missing parts	Decision Games  1991	usr294@gt.edu	Board Game			
2187	Mercenaries 2: World in Flames	Lightly Used	Third-person Shooter, Open World   Pandemic Studios	usr294@gt.edu	Video Game		Xbox	Game card
2188	Magic: The Gathering 2014	Damaged/Missing parts		usr294@gt.edu	Video Game		Xbox	Optical disc
2189	Telefoot Soccer 2000FRA	Like New	Silicon Dreams Studio   THQ	usr294@gt.edu	Video Game		Nintendo	Game card
2190	Euchre (4 players)	Lightly Used	Extremely popular as a social game in parts of Canada and the USA, Euchre can especially be fun when played in a casual tournament setting	usr294@gt.edu	Playing Card Game			
2191	Dune	Lightly Used		usr294@gt.edu	Collectible Card Game	144		
2192	Assassin's Creed Origins	Heavily Used		usr295@gt.edu	Computer Game		macOS	
2193	Marvel: Ultimate Alliance 2	Heavily Used	Action RPG   Raven Software	usr295@gt.edu	Video Game		Xbox	Optical disc
2194	Audiosurf 2	Moderately Used	Dylan Fitterer	usr295@gt.edu	Computer Game		macOS	
2195	Battleground 4: Shiloh	Moderately Used	TalonSoft	usr295@gt.edu	Computer Game		macOS	
2196	Gridiron Fantasy Football	Lightly Used	Upper Deck   	usr296@gt.edu	Collectible Card Game	175		
2197	AdVenture Capitalist	Heavily Used	Hyper Hippo Productions	usr296@gt.edu	Computer Game		macOS	
2198	Meteos Wars	Moderately Used		usr296@gt.edu	Video Game		Xbox	Optical disc
2199	World of Warcraft: Mists of Pandaria	Lightly Used	Blizzard Entertainment	usr296@gt.edu	Computer Game		Windows	
2200	Jikkyou Powerful Pro Yakyuu 2013	Heavily Used	Konami   October 24, 2013	usr296@gt.edu	Video Game		PlayStation	Cartridge
2201	Pony Island	Unopened	Daniel Mullins Games	usr296@gt.edu	Computer Game		macOS	
2202	World of Warcraft: Mists of Pandaria	Unopened	Blizzard Entertainment	usr297@gt.edu	Computer Game		Windows	
2203	MLB Bobblehead Pros	Damaged/Missing parts	Sports & Recreation   Konami	usr297@gt.edu	Video Game		Xbox	Cartridge
2204	Perfect Dark	Like New	Rare   Rare	usr297@gt.edu	Video Game		Nintendo	Optical disc
2205	Ai Space	Moderately Used	Ai Space Production Committee	usr297@gt.edu	Computer Game		Windows	
2206	Epic Battle Fantasy 4	Heavily Used		usr297@gt.edu	Computer Game		macOS	
2207	Age of Wonders III	Lightly Used	Triumph Studios	usr297@gt.edu	Computer Game		Windows	
2208	The Terminator 	Heavily Used	Precedence Entertainment/Tyranny Games/Zehrapushu/ZI Games   	usr297@gt.edu	Collectible Card Game	212		
2209	Wargame: AirLand Battle	Damaged/Missing parts	Eugen Systems   Focus Home Interactive	usr297@gt.edu	Computer Game		Windows	
2210	Addiction Pinball	Unopened	Team17   MicroProse	usr297@gt.edu	Computer Game		macOS	
2211	Joe Danger	Heavily Used		usr297@gt.edu	Video Game		PlayStation	Optical disc
2212	Antichamber	Lightly Used	Alexander Bruce   Demruth	usr297@gt.edu	Computer Game		Windows	
2213	John Daly's Prostroke Golf	Unopened	Gusto Games   	usr297@gt.edu	Video Game		PlayStation	Optical disc
2214	Quake 64	Unopened	id Software   	usr298@gt.edu	Video Game		Nintendo	Game card
2215	Monopoly	Heavily Used	Board game   EA Bright Light	usr298@gt.edu	Video Game		Xbox	Game card
2216	Kiba Trading Card Game 	Like New		usr298@gt.edu	Collectible Card Game	509		
2217	Wheels of Aurelia	Unopened	Santa Ragione S.r.l.	usr298@gt.edu	Computer Game		Windows	
2218	Bezique (2 players)	Unopened	A classic trick-taker for two players that originated in France, was very popular in the early 20th century, and has some similarities to the two player version of the American game Pinochle	usr298@gt.edu	Playing Card Game			
2219	NBA Jam 99	Like New		usr299@gt.edu	Video Game		Nintendo	Game card
2220	Milton Bradley	Lightly Used	1984  	usr299@gt.edu	Board Game			
2221	Vortium 	Unopened	Domo Sur SRL   	usr299@gt.edu	Collectible Card Game	169		
2222	The Dozens 	Lightly Used	Topps   	usr299@gt.edu	Collectible Card Game	163		
2223	Horus Heresy	Moderately Used		usr299@gt.edu	Collectible Card Game	245		
2224	Aldnoah Zero	Lightly Used	based on the television and print series created by Olympus Knights and A-1 Pictures   	usr299@gt.edu	Collectible Card Game	78		
2225	Fullmetal Alchemist Trading Card Game 	Damaged/Missing parts	RC2 Inc./JoyRide Studios   	usr299@gt.edu	Collectible Card Game	140		
2226	Eagles	Moderately Used	Columbia Games   	usr299@gt.edu	Collectible Card Game	231		
2227	Police Quest: SWAT 2	Damaged/Missing parts	Yosemite Entertainment   Sierra FX	usr299@gt.edu	Computer Game		Windows	
2228	kkrieger	Damaged/Missing parts	.theprodukkt	usr299@gt.edu	Computer Game		Windows	
2229	Fullmetal Alchemist: Alchemic Card Battle TCG 	Heavily Used	Bandai   	usr299@gt.edu	Collectible Card Game	412		
2230	Kane & Lynch: Dead Men	Heavily Used	IO Interactive   July 10, 2008	usr300@gt.edu	Video Game		PlayStation	Optical disc
2231	Just Dance 2018	Lightly Used	Ubisoft Paris   	usr300@gt.edu	Video Game		PlayStation	Cartridge
2232	Super Meat Boy	Moderately Used	Team Meat	usr300@gt.edu	Computer Game		macOS	
2233	Afterlife	Like New	LucasArts	usr301@gt.edu	Computer Game		Windows	
2234	Jikkyou Powerful Pro Yakyuu 2011	Lightly Used	Konami   July 14, 2011	usr301@gt.edu	Video Game		PlayStation	Optical disc
2235	Mao (2-7 players)	Damaged/Missing parts	This game has especially been popular in college and university crowds since the 1960s, and the aim is not just to win but to have fun	usr301@gt.edu	Playing Card Game			
2236	Battles of the Ancient World: Marathon & Granicus	Damaged/Missing parts	Decision Games  2003	usr301@gt.edu	Board Game			
2237	Mega Man 9	Like New	Action & Adventure   Inti Creates/Capcom	usr301@gt.edu	Video Game		Xbox	Optical disc
2238	Max: The Curse of Brotherhood	Heavily Used	Action & Adventure   Press Play	usr301@gt.edu	Video Game		Xbox	Optical disc
2239	A Day in the Woods	Unopened		usr301@gt.edu	Computer Game		macOS	
2240	Antichamber	Moderately Used	Alexander Bruce   Demruth	usr301@gt.edu	Computer Game		Windows	
2241	Warcards 	Lightly Used	SC Patiart SRL   	usr301@gt.edu	Collectible Card Game	314		
2242	"True Megami Reincarnation Trading Card	"	Moderately Used	Enterbrain   	usr302@gt.edu	Collectible Card Game	64		
2243	BattleBlock Theater	Damaged/Missing parts	The Behemoth	usr302@gt.edu	Computer Game		macOS	
2244	A Day in the Woods	Heavily Used	RetroEpic Software	usr302@gt.edu	Computer Game		macOS	
2245	Pool of Radiance	Moderately Used		usr302@gt.edu	Computer Game		Linux	
2246	Five-hundred (4 players)	Heavily Used	The national card game of Australia. A skilful trick-taking game where players bid for the number of tricks they think their partnership can win	usr302@gt.edu	Playing Card Game			
2247	J-Stars Victory Vs+	Damaged/Missing parts	Spike Chunsoft   Unreleased	usr302@gt.edu	Video Game		PlayStation	Optical disc
2248	Anno 1701	Damaged/Missing parts	Related Designs   Sunflowers	usr302@gt.edu	Computer Game		Windows	
2249	Adam's Venture	Unopened	Vertigo Digital Entertainment   Soedesco	usr302@gt.edu	Computer Game		Windows	
2250	Puyo Puyo Sun 64	Damaged/Missing parts	Compile   Compile	usr303@gt.edu	Video Game		Nintendo	Cartridge
2251	Kamen Rider Battride War	Moderately Used	Bandai Namco Games   March 23, 2013	usr303@gt.edu	Video Game		PlayStation	Optical disc
2252	A.D.A.M. Life's Greatest Mysteries	Unopened		usr303@gt.edu	Computer Game		Linux	
2253	JoJo's Bizarre Adventure: All Star Battle	Heavily Used	CyberConnect2   October 29, 2013	usr303@gt.edu	Video Game		PlayStation	Cartridge
2254	Force of Will 	Like New	Force of Will Ltd.   	usr304@gt.edu	Collectible Card Game	610		
2255	A Detective's Novel	Moderately Used	Amaterasu Software	usr304@gt.edu	Computer Game		Windows	
2256	Wars of the Past 	Unopened	Finople Games/Finople Games   	usr304@gt.edu	Collectible Card Game	112		
2257	World of Warcraft: Wrath of the Lich King	Heavily Used	Blizzard Entertainment	usr304@gt.edu	Computer Game		macOS	
2258	Nuclear Strike 64	Heavily Used		usr304@gt.edu	Video Game		Nintendo	Optical disc
2259	Blood Wars	Damaged/Missing parts	TSR   	usr305@gt.edu	Collectible Card Game	110		
2260	Paradigm Simulation	Lightly Used	Nintendo   Simulation/Flight	usr305@gt.edu	Video Game		Nintendo	Game card
2261	"WildStorms: The Expandable Super-Hero Card Game	"	Heavily Used		usr305@gt.edu	Collectible Card Game	177		
2262	Path of Exile	Moderately Used		usr305@gt.edu	Computer Game		Windows	
2263	Max: The Curse of Brotherhood	Damaged/Missing parts		usr306@gt.edu	Video Game		Xbox	Optical disc
2264	Secret of the Silver Blades	Lightly Used	Strategic Simulations, Inc.   Strategic Simulations, Inc., Pony Canyon, Inc.	usr306@gt.edu	Computer Game		Windows	
2265	Monopoly Plus	Like New	Card & Board   Asobo Studio	usr306@gt.edu	Video Game		Xbox	Cartridge
2266	Batman: Arkham Knight	Unopened	Rocksteady Studios   Warner Bros. Interactive Entertainment	usr306@gt.edu	Computer Game		Windows	
2267	Caesar: Epic Battle at Alesia	Moderately Used	Avalon Hill  1976	usr306@gt.edu	Board Game			
2268	Hegemon	Moderately Used	LPS, Inc.  2002	usr306@gt.edu	Board Game			
2269	PP: Pianissimo	Damaged/Missing parts	Innocent Grey	usr307@gt.edu	Computer Game		macOS	
2270	Chariot Lords	Damaged/Missing parts	Clash of Arms  1999	usr307@gt.edu	Board Game			
2271	Ashte kashte	Unopened	Bengal, India  Four thrown cowry shells	usr307@gt.edu	Board Game			
2272	Monkey Island 2: LeChuck's Revenge	Damaged/Missing parts	Classics   LucasArts	usr308@gt.edu	Video Game		Xbox	Game card
2273	Jyhad (AKA Vampire: The Eternal Struggle)	Damaged/Missing parts	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr308@gt.edu	Collectible Card Game	145		
2274	A-10 Cuba!	Moderately Used	Parsoft Interactive   Activision	usr308@gt.edu	Computer Game		Windows	
2275	Draim Arena	Heavily Used	Draim   	usr308@gt.edu	Collectible Card Game	461		
2276	Age of Empires II: The Age of Kings	Lightly Used	Ensemble Studios   Microsoft Game Studios, Konami	usr308@gt.edu	Computer Game		Windows	
2277	Teenage Mutant Ninja Turtles Turtle Power 	Lightly Used		usr308@gt.edu	Collectible Card Game	646		
2278	Black Skylands	Moderately Used	Hungry Couch Games   tinyBuild	usr308@gt.edu	Computer Game		Windows	
2279	SimCity 4	Heavily Used	Maxis   Electronic Arts, Aspyr Media	usr308@gt.edu	Computer Game		macOS	
2280	Palace (2-6 players)	Like New	"Also called  ""Karma"" or ""Idiot"". A very light casual game, where the aim is to avoid being last to get rid of your cards"	usr308@gt.edu	Playing Card Game			
2281	Olympic Hockey Nagano '98JP	Lightly Used	Treyarch Invention   Midway Home EntertainmentNA	usr309@gt.edu	Video Game		Nintendo	Optical disc
2282	Unlimited VS 	Heavily Used	SK Japan   	usr309@gt.edu	Collectible Card Game	83		
2283	Geek Fight! 	Moderately Used	Diving Dragon Games   	usr309@gt.edu	Collectible Card Game	313		
2284	The Eye of Judgment 	Unopened	SCE Japan   	usr309@gt.edu	Collectible Card Game	493		
2285	Dark Millennium	Moderately Used		usr309@gt.edu	Collectible Card Game	123		
2286	Kabal	Lightly Used	MultiSim   	usr309@gt.edu	Collectible Card Game	13		
2287	"Ultimate Combat!	"	Like New	Ultimate Games   	usr309@gt.edu	Collectible Card Game	657		
2288	Hannibal at Bay	Unopened	Avalanche Press  2000	usr309@gt.edu	Board Game			
2289	Mamoru-kun wa Norowarete Shimatta!	Moderately Used	Scrolling Shooter   Crave Games	usr309@gt.edu	Video Game		Xbox	Cartridge
2290	Attack on Titan	Moderately Used	Omega Force   Koei Tecmo	usr309@gt.edu	Computer Game		Windows	
2291	Age of Empires: The Rise of Rome	Lightly Used	Ensemble Studios   Microsoft Game Studios	usr310@gt.edu	Computer Game		Windows	
2292	Jeremy McGrath's Offroad	Heavily Used	2XL Games   Unreleased	usr310@gt.edu	Video Game		PlayStation	Optical disc
2293	Doomtown	Moderately Used		usr310@gt.edu	Collectible Card Game	623		
2294	ABC Sports Monday Night Football	Like New	OT Sports]   ABC Interactive	usr310@gt.edu	Computer Game		Windows	
2295	Inazuma Eleven 	Lightly Used	Tomy   	usr311@gt.edu	Collectible Card Game	259		
2296	Metal Slug 3	Unopened	Classics   SNK	usr311@gt.edu	Video Game		Xbox	Cartridge
2297	Elementeo	Damaged/Missing parts	Alchemist Empire   	usr311@gt.edu	Collectible Card Game	687		
2298	Gin Rummy (2 players)	Unopened	"Derived from Rummy (see earlier on this list), Gin Rummy is a ""knocking game"" that differs from Rummy in that melds are kept in hand until the end of a deal"	usr311@gt.edu	Playing Card Game			
2299	Assassin's Creed II	Like New	Ubisoft Montreal   Ubisoft	usr311@gt.edu	Computer Game		Linux	
2300	Just Dance 2014	Lightly Used	Ubisoft Paris   	usr311@gt.edu	Video Game		PlayStation	Game card
2301	Alpha Prime	Like New	Black Element Software   IDEA Games, Meridian4, Bohemia Interactive	usr311@gt.edu	Computer Game		Windows	
2302	A Bastard's Tale	Damaged/Missing parts	No Pest Productions	usr311@gt.edu	Computer Game		Linux	
2303	Battleground 11: East Front	Damaged/Missing parts		usr311@gt.edu	Computer Game		macOS	
2304	Agatha Christie: And Then There Were None	Lightly Used	AWE Productions   The Adventure Company	usr311@gt.edu	Computer Game		Windows	
2305	Eye of the Beholder III: Assault on Myth Drannor	Like New	Strategic Simulations, Inc.	usr311@gt.edu	Computer Game		Windows	
2306	Armageddon: Tactical Combat, 3000-500 BC	Damaged/Missing parts	Simulations Publications, Inc.  1972	usr312@gt.edu	Board Game			
2307	Beast Clans	Like New	Beast Clans LLC   	usr312@gt.edu	Collectible Card Game	495		
2308	Stormfront Studios	Damaged/Missing parts	EA Sports   Racing/Automobile	usr312@gt.edu	Video Game		Nintendo	Cartridge
2309	Mass Effect 3	Moderately Used	Action RPG   BioWare	usr312@gt.edu	Video Game		Xbox	Cartridge
2310	German Whist (2 players)	Moderately Used	An excellent Whist style game for two players. Each player has a hand of 13 cards, and the first phase involves each person playing a card in order to compete for the face up card from the top of the stock (the very first card shown is the trump suit); the winner gets that card, the loser gets the next face-down card	usr313@gt.edu	Playing Card Game			
2311	Wizard in Training 	Unopened	Upper Deck   	usr313@gt.edu	Collectible Card Game	310		
2312	Ace Online	Damaged/Missing parts	MasangSoft Inc.   Many	usr313@gt.edu	Computer Game		Linux	
2313	KonamiJP	Like New	Sports/Ice Hockey   1998-02-23NA	usr313@gt.edu	Video Game		Nintendo	Cartridge
2314	Dark Millennium	Moderately Used	Sabertooth Games   	usr313@gt.edu	Collectible Card Game	123		
2315	Ace Combat: Assault Horizon	Like New	Project Aces   Namco Bandai Games	usr313@gt.edu	Computer Game		Windows	
2316	Phalanx	Heavily Used	Society of Ancients  1993	usr313@gt.edu	Board Game			
2317	Ketsui: Kizuna Jigoku Tachi Extra	Like New	5pb.   July 25, 2013	usr314@gt.edu	Video Game		PlayStation	Game card
2318	Widelands	Moderately Used	Widelands Development Team	usr314@gt.edu	Computer Game		macOS	
2319	Dragoborne: Rise to Supremacy	Unopened	Bushiroad Ltd.   	usr314@gt.edu	Collectible Card Game	576		
2320	Mortal Kombat Mythologies: Sub-Zero	Like New	Midway Games   	usr314@gt.edu	Video Game		Nintendo	Optical disc
2321	Sands of Salzaar	Damaged/Missing parts		usr314@gt.edu	Computer Game		macOS	
2322	Eurocom	Heavily Used	Midway Home Entertainment   Sports/Basketball	usr314@gt.edu	Video Game		Nintendo	Optical disc
2323	24: Trading Card Game	Damaged/Missing parts	deck of 24 cards made from characters and events from the television show   	usr314@gt.edu	Collectible Card Game	101		
2324	Jeopardy! (2012)	Damaged/Missing parts	Pipeworks Software   Unreleased	usr314@gt.edu	Video Game		PlayStation	Game card
2325	Club Penguin Trading Cards	Like New	Disney   	usr314@gt.edu	Collectible Card Game	522		
2326	Major League Baseball 2K9	Damaged/Missing parts	Sports   Visual Concepts	usr314@gt.edu	Video Game		Xbox	Game card
2327	Adidas Power Soccer	Lightly Used		usr315@gt.edu	Computer Game		Windows	
2328	Mass Media Games	Like New	Namco   Action/Arcade Compilation	usr315@gt.edu	Video Game		Nintendo	Optical disc
2329	Pok�mon Snap	Moderately Used		usr315@gt.edu	Video Game		Nintendo	Cartridge
2330	Nintama Rantaro 64 Game Gallery	Unopened	Culture Brain   Culture Brain	usr315@gt.edu	Video Game		Nintendo	Optical disc
2331	SpaceChem	Heavily Used	Zachtronics Industries	usr315@gt.edu	Computer Game		Linux	
2332	Battlelords	Moderately Used	New Millennium Entertainment   	usr315@gt.edu	Collectible Card Game	122		
2333	Dinosaur King	Lightly Used	Upper Deck   	usr315@gt.edu	Collectible Card Game	580		
2334	Day of the Chariot: Kadesh	Moderately Used	LPS, Inc.  2008	usr315@gt.edu	Board Game			
2335	Stronghold: Crusader	Lightly Used		usr315@gt.edu	Computer Game		macOS	
2336	Madden NFL 09	Heavily Used	Sports   EA Tiburon	usr315@gt.edu	Video Game		Xbox	Game card
2337	Parques	Lightly Used	Colombia  Two six-sided dice	usr315@gt.edu	Board Game			
2338	Jak II HD	Lightly Used		usr316@gt.edu	Video Game		PlayStation	Optical disc
2339	NFL Quarterback Club 98	Unopened	Iguana Entertainment   Acclaim Sports	usr316@gt.edu	Video Game		Nintendo	Game card
2340	Battleground 3: Waterloo	Lightly Used	TalonSoft	usr316@gt.edu	Computer Game		Windows	
2341	Mass Effect 3	Like New	Action RPG   BioWare	usr316@gt.edu	Video Game		Xbox	Cartridge
2342	Caesar's Legions	Like New		usr316@gt.edu	Board Game			
2343	NFL Quarterback Club 99	Lightly Used	Iguana Entertainment   Acclaim Sports	usr316@gt.edu	Video Game		Nintendo	Optical disc
2344	Scrolls	Like New	Mojang	usr316@gt.edu	Computer Game		Windows	
2345	Kadesh	Lightly Used	XTR Corp  1991	usr316@gt.edu	Board Game			
2346	Assassin's Creed IV: Black Flag	Lightly Used	Ubisoft Montreal   Ubisoft	usr316@gt.edu	Computer Game		macOS	
2347	StarCraft	Lightly Used	Blizzard Entertainment	usr316@gt.edu	Computer Game		macOS	
2348	Silent Hunter 4: Wolves of the Pacific	Like New	Ubisoft Bucharest   Ubisoft	usr316@gt.edu	Computer Game		Windows	
2349	King Arthur: The Role-Playing Wargame	Lightly Used	NeocoreGames   Paradox Interactive	usr316@gt.edu	Computer Game		macOS	
2350	Eurocom	Like New	Midway Home Entertainment   Sports/Basketball	usr317@gt.edu	Video Game		Nintendo	Optical disc
2351	Mass Effect	Damaged/Missing parts	Action RPG   BioWare	usr317@gt.edu	Video Game		Xbox	Cartridge
2352	Cheat (3-13 players)	Like New	"Also called ""I Doubt It"" or ""Bullsh**"", this is a game many children have played"	usr317@gt.edu	Playing Card Game			
2353	Gladiator	Heavily Used	Avalon Hill  1981	usr317@gt.edu	Board Game			
2354	Medal of Honor: Warfighter	Damaged/Missing parts	First-person Shooter   Danger Close Games	usr318@gt.edu	Video Game		Xbox	Game card
2355	Madagascar: Escape 2 Africa	Heavily Used	Action   Papaya Studio	usr318@gt.edu	Video Game		Xbox	Optical disc
2356	Payday: The Heist	Heavily Used	Overkill Software   Sony Online Entertainment	usr318@gt.edu	Computer Game		Windows	
