proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id
1920,3574,usr257@gt.edu,usr485@gt.edu,2022-05-27,2022-06-07,rejected,proposer_emailusr257@gt.educounterparty_emailusr485@gt.eduproposer_item_no1920counterparty_item_no3574
1926,3772,usr257@gt.edu,usr511@gt.edu,2022-04-18,2022-06-10,rejected,proposer_emailusr257@gt.educounterparty_emailusr511@gt.eduproposer_item_no1926counterparty_item_no3772
1928,6557,usr258@gt.edu,usr883@gt.edu,2022-04-15,2022-05-03,accepted,proposer_emailusr258@gt.educounterparty_emailusr883@gt.eduproposer_item_no1928counterparty_item_no6557
1931,1183,usr258@gt.edu,usr159@gt.edu,2022-04-19,2022-05-31,rejected,proposer_emailusr258@gt.educounterparty_emailusr159@gt.eduproposer_item_no1931counterparty_item_no1183
1935,2085,usr259@gt.edu,usr279@gt.edu,2022-04-15,2022-04-21,rejected,proposer_emailusr259@gt.educounterparty_emailusr279@gt.eduproposer_item_no1935counterparty_item_no2085
1937,3242,usr260@gt.edu,usr436@gt.edu,2022-05-10,2022-05-19,accepted,proposer_emailusr260@gt.educounterparty_emailusr436@gt.eduproposer_item_no1937counterparty_item_no3242
1938,6646,usr260@gt.edu,usr897@gt.edu,2022-04-15,2022-06-06,accepted,proposer_emailusr260@gt.educounterparty_emailusr897@gt.eduproposer_item_no1938counterparty_item_no6646
1940,5899,usr260@gt.edu,usr792@gt.edu,2022-05-16,2022-05-27,accepted,proposer_emailusr260@gt.educounterparty_emailusr792@gt.eduproposer_item_no1940counterparty_item_no5899
1941,7417,usr260@gt.edu,usr999@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr260@gt.educounterparty_emailusr999@gt.eduproposer_item_no1941counterparty_item_no7417
1942,593,usr260@gt.edu,usr081@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr260@gt.educounterparty_emailusr081@gt.eduproposer_item_no1942counterparty_item_no593
1943,394,usr261@gt.edu,usr054@gt.edu,2022-04-29,2022-05-06,rejected,proposer_emailusr261@gt.educounterparty_emailusr054@gt.eduproposer_item_no1943counterparty_item_no394
1948,7263,usr261@gt.edu,usr980@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr261@gt.educounterparty_emailusr980@gt.eduproposer_item_no1948counterparty_item_no7263
1949,3819,usr261@gt.edu,usr516@gt.edu,2022-04-18,2022-04-19,rejected,proposer_emailusr261@gt.educounterparty_emailusr516@gt.eduproposer_item_no1949counterparty_item_no3819
1950,4886,usr261@gt.edu,usr659@gt.edu,2022-04-20,2022-05-23,accepted,proposer_emailusr261@gt.educounterparty_emailusr659@gt.eduproposer_item_no1950counterparty_item_no4886
1951,5892,usr261@gt.edu,usr792@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr261@gt.educounterparty_emailusr792@gt.eduproposer_item_no1951counterparty_item_no5892
1954,7091,usr262@gt.edu,usr955@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr262@gt.educounterparty_emailusr955@gt.eduproposer_item_no1954counterparty_item_no7091
1955,5200,usr262@gt.edu,usr703@gt.edu,2022-05-12,2022-05-16,accepted,proposer_emailusr262@gt.educounterparty_emailusr703@gt.eduproposer_item_no1955counterparty_item_no5200
1958,5302,usr263@gt.edu,usr716@gt.edu,2022-04-27,2022-05-11,accepted,proposer_emailusr263@gt.educounterparty_emailusr716@gt.eduproposer_item_no1958counterparty_item_no5302
1959,6807,usr263@gt.edu,usr920@gt.edu,2022-04-18,2022-05-16,accepted,proposer_emailusr263@gt.educounterparty_emailusr920@gt.eduproposer_item_no1959counterparty_item_no6807
1962,3036,usr263@gt.edu,usr405@gt.edu,2022-04-25,2022-05-12,accepted,proposer_emailusr263@gt.educounterparty_emailusr405@gt.eduproposer_item_no1962counterparty_item_no3036
1963,107,usr263@gt.edu,usr015@gt.edu,2022-04-15,2022-05-02,rejected,proposer_emailusr263@gt.educounterparty_emailusr015@gt.eduproposer_item_no1963counterparty_item_no107
1964,6043,usr263@gt.edu,usr812@gt.edu,2022-06-01,2022-06-06,accepted,proposer_emailusr263@gt.educounterparty_emailusr812@gt.eduproposer_item_no1964counterparty_item_no6043
1967,4280,usr264@gt.edu,usr578@gt.edu,2022-04-20,2022-05-04,rejected,proposer_emailusr264@gt.educounterparty_emailusr578@gt.eduproposer_item_no1967counterparty_item_no4280
1969,361,usr264@gt.edu,usr051@gt.edu,2022-05-18,2022-06-07,rejected,proposer_emailusr264@gt.educounterparty_emailusr051@gt.eduproposer_item_no1969counterparty_item_no361
1970,643,usr264@gt.edu,usr087@gt.edu,2022-04-15,2022-04-20,rejected,proposer_emailusr264@gt.educounterparty_emailusr087@gt.eduproposer_item_no1970counterparty_item_no643
1970,1879,usr264@gt.edu,usr251@gt.edu,2022-04-22,2022-05-18,rejected,proposer_emailusr264@gt.educounterparty_emailusr251@gt.eduproposer_item_no1970counterparty_item_no1879
1970,6962,usr264@gt.edu,usr939@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr264@gt.educounterparty_emailusr939@gt.eduproposer_item_no1970counterparty_item_no6962
1971,4456,usr264@gt.edu,usr603@gt.edu,2022-04-29,2022-05-24,accepted,proposer_emailusr264@gt.educounterparty_emailusr603@gt.eduproposer_item_no1971counterparty_item_no4456
1975,5785,usr265@gt.edu,usr777@gt.edu,2022-04-19,2022-04-27,rejected,proposer_emailusr265@gt.educounterparty_emailusr777@gt.eduproposer_item_no1975counterparty_item_no5785
1978,736,usr265@gt.edu,usr096@gt.edu,2022-04-22,2022-05-26,accepted,proposer_emailusr265@gt.educounterparty_emailusr096@gt.eduproposer_item_no1978counterparty_item_no736
1979,1474,usr265@gt.edu,usr198@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr265@gt.educounterparty_emailusr198@gt.eduproposer_item_no1979counterparty_item_no1474
1982,1252,usr265@gt.edu,usr169@gt.edu,2022-04-20,2022-05-25,rejected,proposer_emailusr265@gt.educounterparty_emailusr169@gt.eduproposer_item_no1982counterparty_item_no1252
1983,424,usr265@gt.edu,usr058@gt.edu,2022-04-26,2022-04-27,accepted,proposer_emailusr265@gt.educounterparty_emailusr058@gt.eduproposer_item_no1983counterparty_item_no424
1984,5812,usr265@gt.edu,usr780@gt.edu,2022-05-17,NULL,unaccepted,proposer_emailusr265@gt.educounterparty_emailusr780@gt.eduproposer_item_no1984counterparty_item_no5812
1986,5838,usr266@gt.edu,usr784@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr266@gt.educounterparty_emailusr784@gt.eduproposer_item_no1986counterparty_item_no5838
1987,3594,usr266@gt.edu,usr488@gt.edu,2022-04-20,2022-04-27,accepted,proposer_emailusr266@gt.educounterparty_emailusr488@gt.eduproposer_item_no1987counterparty_item_no3594
1988,2472,usr266@gt.edu,usr335@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr266@gt.educounterparty_emailusr335@gt.eduproposer_item_no1988counterparty_item_no2472
1989,4555,usr266@gt.edu,usr617@gt.edu,2022-04-21,2022-05-13,accepted,proposer_emailusr266@gt.educounterparty_emailusr617@gt.eduproposer_item_no1989counterparty_item_no4555
1989,5585,usr266@gt.edu,usr751@gt.edu,2022-04-19,2022-04-20,rejected,proposer_emailusr266@gt.educounterparty_emailusr751@gt.eduproposer_item_no1989counterparty_item_no5585
1991,5943,usr267@gt.edu,usr798@gt.edu,2022-04-28,2022-05-03,accepted,proposer_emailusr267@gt.educounterparty_emailusr798@gt.eduproposer_item_no1991counterparty_item_no5943
1994,3782,usr267@gt.edu,usr512@gt.edu,2022-04-20,2022-05-11,rejected,proposer_emailusr267@gt.educounterparty_emailusr512@gt.eduproposer_item_no1994counterparty_item_no3782
1997,2712,usr268@gt.edu,usr366@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr268@gt.educounterparty_emailusr366@gt.eduproposer_item_no1997counterparty_item_no2712
1998,3620,usr268@gt.edu,usr493@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr268@gt.educounterparty_emailusr493@gt.eduproposer_item_no1998counterparty_item_no3620
1999,5165,usr268@gt.edu,usr697@gt.edu,2022-06-06,NULL,unaccepted,proposer_emailusr268@gt.educounterparty_emailusr697@gt.eduproposer_item_no1999counterparty_item_no5165
2000,7004,usr269@gt.edu,usr945@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr269@gt.educounterparty_emailusr945@gt.eduproposer_item_no2000counterparty_item_no7004
2001,3850,usr269@gt.edu,usr519@gt.edu,2022-05-30,2022-05-31,rejected,proposer_emailusr269@gt.educounterparty_emailusr519@gt.eduproposer_item_no2001counterparty_item_no3850
2003,2408,usr269@gt.edu,usr325@gt.edu,2022-04-28,2022-05-10,rejected,proposer_emailusr269@gt.educounterparty_emailusr325@gt.eduproposer_item_no2003counterparty_item_no2408
2003,3499,usr269@gt.edu,usr475@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr269@gt.educounterparty_emailusr475@gt.eduproposer_item_no2003counterparty_item_no3499
2004,1981,usr269@gt.edu,usr265@gt.edu,2022-04-21,2022-05-31,accepted,proposer_emailusr269@gt.educounterparty_emailusr265@gt.eduproposer_item_no2004counterparty_item_no1981
2007,4534,usr270@gt.edu,usr613@gt.edu,2022-04-15,2022-05-13,accepted,proposer_emailusr270@gt.educounterparty_emailusr613@gt.eduproposer_item_no2007counterparty_item_no4534
2009,4085,usr270@gt.edu,usr552@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr270@gt.educounterparty_emailusr552@gt.eduproposer_item_no2009counterparty_item_no4085
2011,4493,usr270@gt.edu,usr608@gt.edu,2022-05-03,2022-06-09,accepted,proposer_emailusr270@gt.educounterparty_emailusr608@gt.eduproposer_item_no2011counterparty_item_no4493
2013,3581,usr270@gt.edu,usr486@gt.edu,2022-04-20,2022-05-19,accepted,proposer_emailusr270@gt.educounterparty_emailusr486@gt.eduproposer_item_no2013counterparty_item_no3581
2014,1813,usr270@gt.edu,usr241@gt.edu,2022-05-09,2022-05-11,rejected,proposer_emailusr270@gt.educounterparty_emailusr241@gt.eduproposer_item_no2014counterparty_item_no1813
2017,5554,usr271@gt.edu,usr748@gt.edu,2022-04-29,2022-05-26,accepted,proposer_emailusr271@gt.educounterparty_emailusr748@gt.eduproposer_item_no2017counterparty_item_no5554
2018,6757,usr271@gt.edu,usr910@gt.edu,2022-04-20,2022-06-10,rejected,proposer_emailusr271@gt.educounterparty_emailusr910@gt.eduproposer_item_no2018counterparty_item_no6757
2021,7129,usr271@gt.edu,usr961@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr271@gt.educounterparty_emailusr961@gt.eduproposer_item_no2021counterparty_item_no7129
2023,1994,usr271@gt.edu,usr267@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr271@gt.educounterparty_emailusr267@gt.eduproposer_item_no2023counterparty_item_no1994
2025,2917,usr272@gt.edu,usr390@gt.edu,2022-06-02,2022-06-03,rejected,proposer_emailusr272@gt.educounterparty_emailusr390@gt.eduproposer_item_no2025counterparty_item_no2917
2030,2881,usr272@gt.edu,usr386@gt.edu,2022-05-17,2022-06-07,accepted,proposer_emailusr272@gt.educounterparty_emailusr386@gt.eduproposer_item_no2030counterparty_item_no2881
2031,1990,usr272@gt.edu,usr266@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr272@gt.educounterparty_emailusr266@gt.eduproposer_item_no2031counterparty_item_no1990
2032,2797,usr272@gt.edu,usr376@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr272@gt.educounterparty_emailusr376@gt.eduproposer_item_no2032counterparty_item_no2797
2034,1075,usr272@gt.edu,usr145@gt.edu,2022-04-25,2022-05-23,accepted,proposer_emailusr272@gt.educounterparty_emailusr145@gt.eduproposer_item_no2034counterparty_item_no1075
2034,6063,usr272@gt.edu,usr813@gt.edu,2022-04-18,2022-04-25,rejected,proposer_emailusr272@gt.educounterparty_emailusr813@gt.eduproposer_item_no2034counterparty_item_no6063
2035,1179,usr273@gt.edu,usr159@gt.edu,2022-04-15,2022-04-25,rejected,proposer_emailusr273@gt.educounterparty_emailusr159@gt.eduproposer_item_no2035counterparty_item_no1179
2035,3396,usr273@gt.edu,usr458@gt.edu,2022-05-09,2022-05-23,rejected,proposer_emailusr273@gt.educounterparty_emailusr458@gt.eduproposer_item_no2035counterparty_item_no3396
2036,5769,usr273@gt.edu,usr776@gt.edu,2022-05-17,2022-05-26,accepted,proposer_emailusr273@gt.educounterparty_emailusr776@gt.eduproposer_item_no2036counterparty_item_no5769
2037,4399,usr273@gt.edu,usr596@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr273@gt.educounterparty_emailusr596@gt.eduproposer_item_no2037counterparty_item_no4399
2038,7161,usr273@gt.edu,usr965@gt.edu,2022-04-25,2022-06-09,accepted,proposer_emailusr273@gt.educounterparty_emailusr965@gt.eduproposer_item_no2038counterparty_item_no7161
2040,3564,usr273@gt.edu,usr483@gt.edu,2022-04-18,2022-04-28,rejected,proposer_emailusr273@gt.educounterparty_emailusr483@gt.eduproposer_item_no2040counterparty_item_no3564
2041,4838,usr273@gt.edu,usr653@gt.edu,2022-04-19,2022-04-22,rejected,proposer_emailusr273@gt.educounterparty_emailusr653@gt.eduproposer_item_no2041counterparty_item_no4838
2042,5964,usr273@gt.edu,usr802@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr273@gt.educounterparty_emailusr802@gt.eduproposer_item_no2042counterparty_item_no5964
2042,5980,usr273@gt.edu,usr803@gt.edu,2022-04-22,2022-04-29,rejected,proposer_emailusr273@gt.educounterparty_emailusr803@gt.eduproposer_item_no2042counterparty_item_no5980
2042,7066,usr273@gt.edu,usr951@gt.edu,2022-05-06,2022-05-24,rejected,proposer_emailusr273@gt.educounterparty_emailusr951@gt.eduproposer_item_no2042counterparty_item_no7066
2047,4133,usr274@gt.edu,usr559@gt.edu,2022-05-19,2022-05-20,rejected,proposer_emailusr274@gt.educounterparty_emailusr559@gt.eduproposer_item_no2047counterparty_item_no4133
2048,1195,usr274@gt.edu,usr161@gt.edu,2022-05-10,2022-05-31,accepted,proposer_emailusr274@gt.educounterparty_emailusr161@gt.eduproposer_item_no2048counterparty_item_no1195
2049,3152,usr274@gt.edu,usr421@gt.edu,2022-04-21,2022-05-27,accepted,proposer_emailusr274@gt.educounterparty_emailusr421@gt.eduproposer_item_no2049counterparty_item_no3152
2055,6304,usr275@gt.edu,usr848@gt.edu,2022-05-06,2022-05-13,accepted,proposer_emailusr275@gt.educounterparty_emailusr848@gt.eduproposer_item_no2055counterparty_item_no6304
2056,1431,usr275@gt.edu,usr193@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr275@gt.educounterparty_emailusr193@gt.eduproposer_item_no2056counterparty_item_no1431
2061,6026,usr275@gt.edu,usr809@gt.edu,2022-05-04,2022-05-31,accepted,proposer_emailusr275@gt.educounterparty_emailusr809@gt.eduproposer_item_no2061counterparty_item_no6026
2062,18,usr275@gt.edu,usr005@gt.edu,2022-05-03,2022-06-07,rejected,proposer_emailusr275@gt.educounterparty_emailusr005@gt.eduproposer_item_no2062counterparty_item_no18
2065,3698,usr276@gt.edu,usr502@gt.edu,2022-04-26,2022-06-10,accepted,proposer_emailusr276@gt.educounterparty_emailusr502@gt.eduproposer_item_no2065counterparty_item_no3698
2066,910,usr276@gt.edu,usr120@gt.edu,2022-05-31,2022-06-03,accepted,proposer_emailusr276@gt.educounterparty_emailusr120@gt.eduproposer_item_no2066counterparty_item_no910
2066,6474,usr276@gt.edu,usr873@gt.edu,2022-04-25,2022-05-31,rejected,proposer_emailusr276@gt.educounterparty_emailusr873@gt.eduproposer_item_no2066counterparty_item_no6474
2069,4368,usr277@gt.edu,usr591@gt.edu,2022-04-19,2022-05-04,accepted,proposer_emailusr277@gt.educounterparty_emailusr591@gt.eduproposer_item_no2069counterparty_item_no4368
2070,2913,usr277@gt.edu,usr390@gt.edu,2022-04-27,2022-05-12,accepted,proposer_emailusr277@gt.educounterparty_emailusr390@gt.eduproposer_item_no2070counterparty_item_no2913
2071,6017,usr277@gt.edu,usr807@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr277@gt.educounterparty_emailusr807@gt.eduproposer_item_no2071counterparty_item_no6017
2072,3517,usr277@gt.edu,usr477@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr277@gt.educounterparty_emailusr477@gt.eduproposer_item_no2072counterparty_item_no3517
2073,3232,usr277@gt.edu,usr434@gt.edu,2022-04-21,2022-04-22,accepted,proposer_emailusr277@gt.educounterparty_emailusr434@gt.eduproposer_item_no2073counterparty_item_no3232
2074,3109,usr278@gt.edu,usr414@gt.edu,2022-04-15,2022-06-03,rejected,proposer_emailusr278@gt.educounterparty_emailusr414@gt.eduproposer_item_no2074counterparty_item_no3109
2076,930,usr278@gt.edu,usr124@gt.edu,2022-04-27,2022-05-27,rejected,proposer_emailusr278@gt.educounterparty_emailusr124@gt.eduproposer_item_no2076counterparty_item_no930
2079,49,usr278@gt.edu,usr008@gt.edu,2022-04-19,2022-05-05,accepted,proposer_emailusr278@gt.educounterparty_emailusr008@gt.eduproposer_item_no2079counterparty_item_no49
2080,3979,usr278@gt.edu,usr536@gt.edu,2022-05-18,NULL,unaccepted,proposer_emailusr278@gt.educounterparty_emailusr536@gt.eduproposer_item_no2080counterparty_item_no3979
2082,1328,usr278@gt.edu,usr180@gt.edu,2022-05-04,2022-05-25,rejected,proposer_emailusr278@gt.educounterparty_emailusr180@gt.eduproposer_item_no2082counterparty_item_no1328
2083,4803,usr279@gt.edu,usr649@gt.edu,2022-05-06,NULL,unaccepted,proposer_emailusr279@gt.educounterparty_emailusr649@gt.eduproposer_item_no2083counterparty_item_no4803
2085,3836,usr279@gt.edu,usr518@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr279@gt.educounterparty_emailusr518@gt.eduproposer_item_no2085counterparty_item_no3836
2086,5872,usr279@gt.edu,usr789@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr279@gt.educounterparty_emailusr789@gt.eduproposer_item_no2086counterparty_item_no5872
2088,4017,usr280@gt.edu,usr542@gt.edu,2022-05-12,NULL,unaccepted,proposer_emailusr280@gt.educounterparty_emailusr542@gt.eduproposer_item_no2088counterparty_item_no4017
2094,7079,usr280@gt.edu,usr953@gt.edu,2022-05-10,2022-05-18,accepted,proposer_emailusr280@gt.educounterparty_emailusr953@gt.eduproposer_item_no2094counterparty_item_no7079
2095,1527,usr280@gt.edu,usr204@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr280@gt.educounterparty_emailusr204@gt.eduproposer_item_no2095counterparty_item_no1527
2096,5621,usr281@gt.edu,usr756@gt.edu,2022-04-21,2022-04-29,accepted,proposer_emailusr281@gt.educounterparty_emailusr756@gt.eduproposer_item_no2096counterparty_item_no5621
2097,5992,usr281@gt.edu,usr804@gt.edu,2022-04-18,2022-04-19,rejected,proposer_emailusr281@gt.educounterparty_emailusr804@gt.eduproposer_item_no2097counterparty_item_no5992
2099,1404,usr281@gt.edu,usr189@gt.edu,2022-04-19,2022-05-30,accepted,proposer_emailusr281@gt.educounterparty_emailusr189@gt.eduproposer_item_no2099counterparty_item_no1404
2101,6691,usr281@gt.edu,usr902@gt.edu,2022-05-05,2022-05-31,accepted,proposer_emailusr281@gt.educounterparty_emailusr902@gt.eduproposer_item_no2101counterparty_item_no6691
2107,6613,usr282@gt.edu,usr891@gt.edu,2022-04-20,2022-05-12,rejected,proposer_emailusr282@gt.educounterparty_emailusr891@gt.eduproposer_item_no2107counterparty_item_no6613
2107,7323,usr282@gt.edu,usr987@gt.edu,2022-05-16,2022-05-23,accepted,proposer_emailusr282@gt.educounterparty_emailusr987@gt.eduproposer_item_no2107counterparty_item_no7323
2109,3134,usr282@gt.edu,usr418@gt.edu,2022-04-19,2022-04-25,accepted,proposer_emailusr282@gt.educounterparty_emailusr418@gt.eduproposer_item_no2109counterparty_item_no3134
2110,6621,usr283@gt.edu,usr893@gt.edu,2022-04-21,2022-05-06,accepted,proposer_emailusr283@gt.educounterparty_emailusr893@gt.eduproposer_item_no2110counterparty_item_no6621
2111,2343,usr283@gt.edu,usr316@gt.edu,2022-04-15,2022-05-03,rejected,proposer_emailusr283@gt.educounterparty_emailusr316@gt.eduproposer_item_no2111counterparty_item_no2343
2111,3087,usr283@gt.edu,usr412@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr283@gt.educounterparty_emailusr412@gt.eduproposer_item_no2111counterparty_item_no3087
2114,1064,usr283@gt.edu,usr145@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr283@gt.educounterparty_emailusr145@gt.eduproposer_item_no2114counterparty_item_no1064
2116,3189,usr284@gt.edu,usr428@gt.edu,2022-06-06,NULL,unaccepted,proposer_emailusr284@gt.educounterparty_emailusr428@gt.eduproposer_item_no2116counterparty_item_no3189
2116,6749,usr284@gt.edu,usr910@gt.edu,2022-04-15,2022-04-21,rejected,proposer_emailusr284@gt.educounterparty_emailusr910@gt.eduproposer_item_no2116counterparty_item_no6749
2121,1904,usr284@gt.edu,usr255@gt.edu,2022-04-18,2022-05-23,accepted,proposer_emailusr284@gt.educounterparty_emailusr255@gt.eduproposer_item_no2121counterparty_item_no1904
2122,2587,usr284@gt.edu,usr351@gt.edu,2022-06-02,2022-06-10,accepted,proposer_emailusr284@gt.educounterparty_emailusr351@gt.eduproposer_item_no2122counterparty_item_no2587
2123,2324,usr284@gt.edu,usr314@gt.edu,2022-05-18,2022-06-01,rejected,proposer_emailusr284@gt.educounterparty_emailusr314@gt.eduproposer_item_no2123counterparty_item_no2324
2124,7257,usr284@gt.edu,usr979@gt.edu,2022-04-22,2022-06-09,accepted,proposer_emailusr284@gt.educounterparty_emailusr979@gt.eduproposer_item_no2124counterparty_item_no7257
2126,3431,usr284@gt.edu,usr464@gt.edu,2022-05-19,2022-05-26,accepted,proposer_emailusr284@gt.educounterparty_emailusr464@gt.eduproposer_item_no2126counterparty_item_no3431
2128,1557,usr285@gt.edu,usr207@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr285@gt.educounterparty_emailusr207@gt.eduproposer_item_no2128counterparty_item_no1557
2130,5544,usr285@gt.edu,usr746@gt.edu,2022-04-29,2022-06-13,accepted,proposer_emailusr285@gt.educounterparty_emailusr746@gt.eduproposer_item_no2130counterparty_item_no5544
2131,3229,usr285@gt.edu,usr434@gt.edu,2022-04-18,2022-05-09,accepted,proposer_emailusr285@gt.educounterparty_emailusr434@gt.eduproposer_item_no2131counterparty_item_no3229
2140,4679,usr286@gt.edu,usr634@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr286@gt.educounterparty_emailusr634@gt.eduproposer_item_no2140counterparty_item_no4679
2143,6678,usr287@gt.edu,usr900@gt.edu,2022-04-18,2022-05-02,accepted,proposer_emailusr287@gt.educounterparty_emailusr900@gt.eduproposer_item_no2143counterparty_item_no6678
2144,4993,usr287@gt.edu,usr674@gt.edu,2022-06-14,NULL,unaccepted,proposer_emailusr287@gt.educounterparty_emailusr674@gt.eduproposer_item_no2144counterparty_item_no4993
2145,6853,usr287@gt.edu,usr926@gt.edu,2022-04-19,2022-05-31,accepted,proposer_emailusr287@gt.educounterparty_emailusr926@gt.eduproposer_item_no2145counterparty_item_no6853
2146,1025,usr287@gt.edu,usr139@gt.edu,2022-05-19,2022-06-08,rejected,proposer_emailusr287@gt.educounterparty_emailusr139@gt.eduproposer_item_no2146counterparty_item_no1025
2148,2539,usr287@gt.edu,usr343@gt.edu,2022-04-15,2022-04-20,rejected,proposer_emailusr287@gt.educounterparty_emailusr343@gt.eduproposer_item_no2148counterparty_item_no2539
2148,5924,usr287@gt.edu,usr796@gt.edu,2022-04-21,2022-04-25,accepted,proposer_emailusr287@gt.educounterparty_emailusr796@gt.eduproposer_item_no2148counterparty_item_no5924
2150,1464,usr288@gt.edu,usr196@gt.edu,2022-04-21,2022-05-11,rejected,proposer_emailusr288@gt.educounterparty_emailusr196@gt.eduproposer_item_no2150counterparty_item_no1464
2150,5431,usr288@gt.edu,usr733@gt.edu,2022-06-03,NULL,unaccepted,proposer_emailusr288@gt.educounterparty_emailusr733@gt.eduproposer_item_no2150counterparty_item_no5431
2150,5830,usr288@gt.edu,usr782@gt.edu,2022-05-16,2022-05-19,rejected,proposer_emailusr288@gt.educounterparty_emailusr782@gt.eduproposer_item_no2150counterparty_item_no5830
2151,6380,usr288@gt.edu,usr858@gt.edu,2022-05-05,2022-05-11,accepted,proposer_emailusr288@gt.educounterparty_emailusr858@gt.eduproposer_item_no2151counterparty_item_no6380
2155,2455,usr289@gt.edu,usr333@gt.edu,2022-04-25,2022-06-07,rejected,proposer_emailusr289@gt.educounterparty_emailusr333@gt.eduproposer_item_no2155counterparty_item_no2455
2156,5722,usr289@gt.edu,usr769@gt.edu,2022-05-12,2022-05-18,rejected,proposer_emailusr289@gt.educounterparty_emailusr769@gt.eduproposer_item_no2156counterparty_item_no5722
2160,3796,usr289@gt.edu,usr514@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr289@gt.educounterparty_emailusr514@gt.eduproposer_item_no2160counterparty_item_no3796
2161,3379,usr289@gt.edu,usr456@gt.edu,2022-06-03,2022-06-06,rejected,proposer_emailusr289@gt.educounterparty_emailusr456@gt.eduproposer_item_no2161counterparty_item_no3379
2161,3807,usr289@gt.edu,usr515@gt.edu,2022-04-18,2022-05-24,rejected,proposer_emailusr289@gt.educounterparty_emailusr515@gt.eduproposer_item_no2161counterparty_item_no3807
2162,78,usr290@gt.edu,usr011@gt.edu,2022-04-25,2022-05-24,accepted,proposer_emailusr290@gt.educounterparty_emailusr011@gt.eduproposer_item_no2162counterparty_item_no78
2163,1726,usr290@gt.edu,usr229@gt.edu,2022-04-15,2022-05-04,accepted,proposer_emailusr290@gt.educounterparty_emailusr229@gt.eduproposer_item_no2163counterparty_item_no1726
2167,6998,usr291@gt.edu,usr944@gt.edu,2022-04-26,2022-06-08,accepted,proposer_emailusr291@gt.educounterparty_emailusr944@gt.eduproposer_item_no2167counterparty_item_no6998
2170,3641,usr291@gt.edu,usr495@gt.edu,2022-06-10,NULL,unaccepted,proposer_emailusr291@gt.educounterparty_emailusr495@gt.eduproposer_item_no2170counterparty_item_no3641
2170,4991,usr291@gt.edu,usr674@gt.edu,2022-04-20,2022-05-06,rejected,proposer_emailusr291@gt.educounterparty_emailusr674@gt.eduproposer_item_no2170counterparty_item_no4991
2171,5049,usr291@gt.edu,usr681@gt.edu,2022-04-15,2022-04-21,accepted,proposer_emailusr291@gt.educounterparty_emailusr681@gt.eduproposer_item_no2171counterparty_item_no5049
2172,2787,usr292@gt.edu,usr375@gt.edu,2022-05-16,2022-06-09,rejected,proposer_emailusr292@gt.educounterparty_emailusr375@gt.eduproposer_item_no2172counterparty_item_no2787
2173,2100,usr292@gt.edu,usr281@gt.edu,2022-04-29,2022-05-18,accepted,proposer_emailusr292@gt.educounterparty_emailusr281@gt.eduproposer_item_no2173counterparty_item_no2100
2173,5884,usr292@gt.edu,usr791@gt.edu,2022-04-15,2022-04-21,rejected,proposer_emailusr292@gt.educounterparty_emailusr791@gt.eduproposer_item_no2173counterparty_item_no5884
2175,5744,usr292@gt.edu,usr772@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr292@gt.educounterparty_emailusr772@gt.eduproposer_item_no2175counterparty_item_no5744
2176,6577,usr292@gt.edu,usr887@gt.edu,2022-05-06,2022-06-01,accepted,proposer_emailusr292@gt.educounterparty_emailusr887@gt.eduproposer_item_no2176counterparty_item_no6577
2177,1792,usr293@gt.edu,usr239@gt.edu,2022-04-28,NULL,unaccepted,proposer_emailusr293@gt.educounterparty_emailusr239@gt.eduproposer_item_no2177counterparty_item_no1792
