proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id,proposed_date1,accept_reject_date1
1167,6090,usr158@gt.edu,usr818@gt.edu,2022-05-27,2022-06-08,rejected,proposer_emailusr158@gt.educounterparty_emailusr818@gt.eduproposer_item_no1167counterparty_item_no6090,2022-05-27,2022-06-08
1169,4632,usr158@gt.edu,usr627@gt.edu,2022-04-21,2022-04-26,rejected,proposer_emailusr158@gt.educounterparty_emailusr627@gt.eduproposer_item_no1169counterparty_item_no4632,2022-04-21,2022-04-26
1173,1362,usr158@gt.edu,usr184@gt.edu,2022-04-15,2022-05-10,accepted,proposer_emailusr158@gt.educounterparty_emailusr184@gt.eduproposer_item_no1173counterparty_item_no1362,2022-04-15,2022-05-10
1175,6620,usr158@gt.edu,usr893@gt.edu,2022-05-04,2022-05-13,accepted,proposer_emailusr158@gt.educounterparty_emailusr893@gt.eduproposer_item_no1175counterparty_item_no6620,2022-05-04,2022-05-13
1176,3010,usr158@gt.edu,usr402@gt.edu,2022-06-14,NULL,unaccepted,proposer_emailusr158@gt.educounterparty_emailusr402@gt.eduproposer_item_no1176counterparty_item_no3010,2022-06-14,NULL
1177,7087,usr159@gt.edu,usr954@gt.edu,2022-04-18,2022-05-06,accepted,proposer_emailusr159@gt.educounterparty_emailusr954@gt.eduproposer_item_no1177counterparty_item_no7087,2022-04-18,2022-05-06
1179,2650,usr159@gt.edu,usr359@gt.edu,2022-04-25,2022-05-26,accepted,proposer_emailusr159@gt.educounterparty_emailusr359@gt.eduproposer_item_no1179counterparty_item_no2650,2022-04-25,2022-05-26
1180,3094,usr159@gt.edu,usr412@gt.edu,2022-05-20,2022-05-27,rejected,proposer_emailusr159@gt.educounterparty_emailusr412@gt.eduproposer_item_no1180counterparty_item_no3094,2022-05-20,2022-05-27
1181,6911,usr159@gt.edu,usr933@gt.edu,2022-05-16,2022-05-26,rejected,proposer_emailusr159@gt.educounterparty_emailusr933@gt.eduproposer_item_no1181counterparty_item_no6911,2022-05-16,2022-05-26
1184,5985,usr159@gt.edu,usr804@gt.edu,2022-05-25,2022-06-07,accepted,proposer_emailusr159@gt.educounterparty_emailusr804@gt.eduproposer_item_no1184counterparty_item_no5985,2022-05-25,2022-06-07
1188,1845,usr160@gt.edu,usr246@gt.edu,2022-04-19,2022-05-12,accepted,proposer_emailusr160@gt.educounterparty_emailusr246@gt.eduproposer_item_no1188counterparty_item_no1845,2022-04-19,2022-05-12
1189,2023,usr160@gt.edu,usr271@gt.edu,2022-04-28,2022-05-06,rejected,proposer_emailusr160@gt.educounterparty_emailusr271@gt.eduproposer_item_no1189counterparty_item_no2023,2022-04-28,2022-05-06
1191,1204,usr160@gt.edu,usr161@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr160@gt.educounterparty_emailusr161@gt.eduproposer_item_no1191counterparty_item_no1204,2022-06-07,NULL
1192,2756,usr160@gt.edu,usr371@gt.edu,2022-04-20,2022-04-21,accepted,proposer_emailusr160@gt.educounterparty_emailusr371@gt.eduproposer_item_no1192counterparty_item_no2756,2022-04-20,2022-04-21
1193,2006,usr161@gt.edu,usr269@gt.edu,2022-04-15,2022-05-09,accepted,proposer_emailusr161@gt.educounterparty_emailusr269@gt.eduproposer_item_no1193counterparty_item_no2006,2022-04-15,2022-05-09
1194,5069,usr161@gt.edu,usr683@gt.edu,2022-04-20,2022-05-04,rejected,proposer_emailusr161@gt.educounterparty_emailusr683@gt.eduproposer_item_no1194counterparty_item_no5069,2022-04-20,2022-05-04
1196,2235,usr161@gt.edu,usr301@gt.edu,2022-06-01,2022-06-07,accepted,proposer_emailusr161@gt.educounterparty_emailusr301@gt.eduproposer_item_no1196counterparty_item_no2235,2022-06-01,2022-06-07
1199,6251,usr161@gt.edu,usr840@gt.edu,2022-04-18,2022-04-22,rejected,proposer_emailusr161@gt.educounterparty_emailusr840@gt.eduproposer_item_no1199counterparty_item_no6251,2022-04-18,2022-04-22
1200,5244,usr161@gt.edu,usr709@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr161@gt.educounterparty_emailusr709@gt.eduproposer_item_no1200counterparty_item_no5244,2022-05-05,NULL
1203,4950,usr161@gt.edu,usr667@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr161@gt.educounterparty_emailusr667@gt.eduproposer_item_no1203counterparty_item_no4950,2022-04-21,NULL
1206,4853,usr162@gt.edu,usr655@gt.edu,2022-04-15,2022-04-25,rejected,proposer_emailusr162@gt.educounterparty_emailusr655@gt.eduproposer_item_no1206counterparty_item_no4853,2022-04-15,2022-04-25
1206,6720,usr162@gt.edu,usr905@gt.edu,2022-04-29,2022-05-09,accepted,proposer_emailusr162@gt.educounterparty_emailusr905@gt.eduproposer_item_no1206counterparty_item_no6720,2022-04-29,2022-05-09
1208,5472,usr163@gt.edu,usr738@gt.edu,2022-05-23,NULL,unaccepted,proposer_emailusr163@gt.educounterparty_emailusr738@gt.eduproposer_item_no1208counterparty_item_no5472,2022-05-23,NULL
1209,692,usr163@gt.edu,usr092@gt.edu,2022-04-21,2022-04-22,rejected,proposer_emailusr163@gt.educounterparty_emailusr092@gt.eduproposer_item_no1209counterparty_item_no692,2022-04-21,2022-04-22
1209,2480,usr163@gt.edu,usr336@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr163@gt.educounterparty_emailusr336@gt.eduproposer_item_no1209counterparty_item_no2480,2022-06-08,NULL
1210,4011,usr163@gt.edu,usr540@gt.edu,2022-04-29,2022-05-04,rejected,proposer_emailusr163@gt.educounterparty_emailusr540@gt.eduproposer_item_no1210counterparty_item_no4011,2022-04-29,2022-05-04
1210,4910,usr163@gt.edu,usr663@gt.edu,2022-05-10,2022-06-14,accepted,proposer_emailusr163@gt.educounterparty_emailusr663@gt.eduproposer_item_no1210counterparty_item_no4910,2022-05-10,2022-06-14
1211,7141,usr163@gt.edu,usr962@gt.edu,2022-05-17,2022-05-25,accepted,proposer_emailusr163@gt.educounterparty_emailusr962@gt.eduproposer_item_no1211counterparty_item_no7141,2022-05-17,2022-05-25
1212,7035,usr164@gt.edu,usr948@gt.edu,2022-06-14,NULL,unaccepted,proposer_emailusr164@gt.educounterparty_emailusr948@gt.eduproposer_item_no1212counterparty_item_no7035,2022-06-14,NULL
1214,2396,usr164@gt.edu,usr323@gt.edu,2022-05-02,2022-05-18,rejected,proposer_emailusr164@gt.educounterparty_emailusr323@gt.eduproposer_item_no1214counterparty_item_no2396,2022-05-02,2022-05-18
1219,4241,usr164@gt.edu,usr573@gt.edu,2022-04-27,NULL,unaccepted,proposer_emailusr164@gt.educounterparty_emailusr573@gt.eduproposer_item_no1219counterparty_item_no4241,2022-04-27,NULL
1221,1025,usr164@gt.edu,usr139@gt.edu,2022-06-10,NULL,unaccepted,proposer_emailusr164@gt.educounterparty_emailusr139@gt.eduproposer_item_no1221counterparty_item_no1025,2022-06-10,NULL
1222,6396,usr164@gt.edu,usr862@gt.edu,2022-04-15,2022-04-27,accepted,proposer_emailusr164@gt.educounterparty_emailusr862@gt.eduproposer_item_no1222counterparty_item_no6396,2022-04-15,2022-04-27
1224,6776,usr165@gt.edu,usr915@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr165@gt.educounterparty_emailusr915@gt.eduproposer_item_no1224counterparty_item_no6776,2022-06-07,NULL
1230,3699,usr165@gt.edu,usr502@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr165@gt.educounterparty_emailusr502@gt.eduproposer_item_no1230counterparty_item_no3699,2022-05-04,NULL
1233,6804,usr165@gt.edu,usr919@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr165@gt.educounterparty_emailusr919@gt.eduproposer_item_no1233counterparty_item_no6804,2022-04-15,NULL
1235,856,usr166@gt.edu,usr114@gt.edu,2022-04-18,2022-04-29,accepted,proposer_emailusr166@gt.educounterparty_emailusr114@gt.eduproposer_item_no1235counterparty_item_no856,2022-04-18,2022-04-29
1236,3962,usr166@gt.edu,usr534@gt.edu,2022-05-16,2022-06-06,rejected,proposer_emailusr166@gt.educounterparty_emailusr534@gt.eduproposer_item_no1236counterparty_item_no3962,2022-05-16,2022-06-06
1240,1398,usr166@gt.edu,usr188@gt.edu,2022-04-25,2022-06-03,rejected,proposer_emailusr166@gt.educounterparty_emailusr188@gt.eduproposer_item_no1240counterparty_item_no1398,2022-04-25,2022-06-03
1242,5198,usr167@gt.edu,usr703@gt.edu,2022-04-21,2022-05-20,accepted,proposer_emailusr167@gt.educounterparty_emailusr703@gt.eduproposer_item_no1242counterparty_item_no5198,2022-04-21,2022-05-20
1243,1365,usr167@gt.edu,usr185@gt.edu,2022-04-18,2022-04-21,accepted,proposer_emailusr167@gt.educounterparty_emailusr185@gt.eduproposer_item_no1243counterparty_item_no1365,2022-04-18,2022-04-21
1244,3393,usr167@gt.edu,usr457@gt.edu,2022-04-22,2022-06-02,accepted,proposer_emailusr167@gt.educounterparty_emailusr457@gt.eduproposer_item_no1244counterparty_item_no3393,2022-04-22,2022-06-02
1245,3856,usr168@gt.edu,usr520@gt.edu,2022-05-06,2022-05-10,accepted,proposer_emailusr168@gt.educounterparty_emailusr520@gt.eduproposer_item_no1245counterparty_item_no3856,2022-05-06,2022-05-10
1247,1571,usr168@gt.edu,usr209@gt.edu,2022-04-15,2022-04-22,accepted,proposer_emailusr168@gt.educounterparty_emailusr209@gt.eduproposer_item_no1247counterparty_item_no1571,2022-04-15,2022-04-22
1254,3976,usr169@gt.edu,usr535@gt.edu,2022-05-09,2022-05-10,accepted,proposer_emailusr169@gt.educounterparty_emailusr535@gt.eduproposer_item_no1254counterparty_item_no3976,2022-05-09,2022-05-10
1255,3091,usr169@gt.edu,usr412@gt.edu,2022-04-19,2022-04-22,rejected,proposer_emailusr169@gt.educounterparty_emailusr412@gt.eduproposer_item_no1255counterparty_item_no3091,2022-04-19,2022-04-22
1258,612,usr170@gt.edu,usr084@gt.edu,2022-04-15,2022-04-21,accepted,proposer_emailusr170@gt.educounterparty_emailusr084@gt.eduproposer_item_no1258counterparty_item_no612,2022-04-15,2022-04-21
1259,2845,usr170@gt.edu,usr382@gt.edu,2022-05-12,2022-05-20,rejected,proposer_emailusr170@gt.educounterparty_emailusr382@gt.eduproposer_item_no1259counterparty_item_no2845,2022-05-12,2022-05-20
1260,5670,usr170@gt.edu,usr762@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr170@gt.educounterparty_emailusr762@gt.eduproposer_item_no1260counterparty_item_no5670,2022-05-04,NULL
1265,4810,usr171@gt.edu,usr649@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr171@gt.educounterparty_emailusr649@gt.eduproposer_item_no1265counterparty_item_no4810,2022-04-15,NULL
1270,2027,usr172@gt.edu,usr272@gt.edu,2022-04-18,2022-06-02,accepted,proposer_emailusr172@gt.educounterparty_emailusr272@gt.eduproposer_item_no1270counterparty_item_no2027,2022-04-18,2022-06-02
1273,1491,usr172@gt.edu,usr200@gt.edu,2022-04-21,2022-06-02,accepted,proposer_emailusr172@gt.educounterparty_emailusr200@gt.eduproposer_item_no1273counterparty_item_no1491,2022-04-21,2022-06-02
1278,5205,usr173@gt.edu,usr705@gt.edu,2022-04-20,2022-06-08,accepted,proposer_emailusr173@gt.educounterparty_emailusr705@gt.eduproposer_item_no1278counterparty_item_no5205,2022-04-20,2022-06-08
1280,3427,usr173@gt.edu,usr463@gt.edu,2022-04-21,2022-04-22,accepted,proposer_emailusr173@gt.educounterparty_emailusr463@gt.eduproposer_item_no1280counterparty_item_no3427,2022-04-21,2022-04-22
1281,6867,usr173@gt.edu,usr927@gt.edu,2022-06-14,NULL,unaccepted,proposer_emailusr173@gt.educounterparty_emailusr927@gt.eduproposer_item_no1281counterparty_item_no6867,2022-06-14,NULL
1282,7061,usr174@gt.edu,usr951@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr174@gt.educounterparty_emailusr951@gt.eduproposer_item_no1282counterparty_item_no7061,2022-05-26,NULL
1283,1124,usr174@gt.edu,usr151@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr174@gt.educounterparty_emailusr151@gt.eduproposer_item_no1283counterparty_item_no1124,2022-04-15,NULL
1284,3841,usr174@gt.edu,usr518@gt.edu,2022-04-22,2022-04-27,accepted,proposer_emailusr174@gt.educounterparty_emailusr518@gt.eduproposer_item_no1284counterparty_item_no3841,2022-04-22,2022-04-27
1286,6836,usr174@gt.edu,usr924@gt.edu,2022-05-13,2022-05-27,accepted,proposer_emailusr174@gt.educounterparty_emailusr924@gt.eduproposer_item_no1286counterparty_item_no6836,2022-05-13,2022-05-27
1290,3157,usr175@gt.edu,usr421@gt.edu,2022-04-15,2022-04-29,accepted,proposer_emailusr175@gt.educounterparty_emailusr421@gt.eduproposer_item_no1290counterparty_item_no3157,2022-04-15,2022-04-29
1291,3383,usr175@gt.edu,usr456@gt.edu,2022-04-22,2022-05-25,rejected,proposer_emailusr175@gt.educounterparty_emailusr456@gt.eduproposer_item_no1291counterparty_item_no3383,2022-04-22,2022-05-25
1292,5822,usr175@gt.edu,usr781@gt.edu,2022-05-04,2022-06-03,accepted,proposer_emailusr175@gt.educounterparty_emailusr781@gt.eduproposer_item_no1292counterparty_item_no5822,2022-05-04,2022-06-03
1294,6971,usr175@gt.edu,usr940@gt.edu,2022-05-17,NULL,unaccepted,proposer_emailusr175@gt.educounterparty_emailusr940@gt.eduproposer_item_no1294counterparty_item_no6971,2022-05-17,NULL
1295,6741,usr175@gt.edu,usr908@gt.edu,2022-05-20,2022-05-24,accepted,proposer_emailusr175@gt.educounterparty_emailusr908@gt.eduproposer_item_no1295counterparty_item_no6741,2022-05-20,2022-05-24
1297,2850,usr176@gt.edu,usr383@gt.edu,2022-04-25,2022-06-02,accepted,proposer_emailusr176@gt.educounterparty_emailusr383@gt.eduproposer_item_no1297counterparty_item_no2850,2022-04-25,2022-06-02
1298,110,usr176@gt.edu,usr015@gt.edu,2022-04-15,2022-05-24,accepted,proposer_emailusr176@gt.educounterparty_emailusr015@gt.eduproposer_item_no1298counterparty_item_no110,2022-04-15,2022-05-24
1301,2108,usr177@gt.edu,usr282@gt.edu,2022-05-06,2022-06-09,accepted,proposer_emailusr177@gt.educounterparty_emailusr282@gt.eduproposer_item_no1301counterparty_item_no2108,2022-05-06,2022-06-09
1301,5731,usr177@gt.edu,usr771@gt.edu,2022-04-18,2022-05-03,rejected,proposer_emailusr177@gt.educounterparty_emailusr771@gt.eduproposer_item_no1301counterparty_item_no5731,2022-04-18,2022-05-03
1302,2694,usr177@gt.edu,usr363@gt.edu,2022-04-26,2022-05-20,accepted,proposer_emailusr177@gt.educounterparty_emailusr363@gt.eduproposer_item_no1302counterparty_item_no2694,2022-04-26,2022-05-20
1309,5865,usr178@gt.edu,usr788@gt.edu,2022-04-19,2022-05-02,accepted,proposer_emailusr178@gt.educounterparty_emailusr788@gt.eduproposer_item_no1309counterparty_item_no5865,2022-04-19,2022-05-02
1314,6862,usr178@gt.edu,usr927@gt.edu,2022-04-22,2022-06-02,accepted,proposer_emailusr178@gt.educounterparty_emailusr927@gt.eduproposer_item_no1314counterparty_item_no6862,2022-04-22,2022-06-02
1316,2774,usr178@gt.edu,usr373@gt.edu,2022-04-20,2022-04-21,accepted,proposer_emailusr178@gt.educounterparty_emailusr373@gt.eduproposer_item_no1316counterparty_item_no2774,2022-04-20,2022-04-21
1317,4832,usr179@gt.edu,usr652@gt.edu,2022-05-17,2022-05-19,rejected,proposer_emailusr179@gt.educounterparty_emailusr652@gt.eduproposer_item_no1317counterparty_item_no4832,2022-05-17,2022-05-19
1318,6664,usr179@gt.edu,usr899@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr179@gt.educounterparty_emailusr899@gt.eduproposer_item_no1318counterparty_item_no6664,2022-04-15,NULL
1323,4383,usr179@gt.edu,usr594@gt.edu,2022-05-12,2022-06-09,rejected,proposer_emailusr179@gt.educounterparty_emailusr594@gt.eduproposer_item_no1323counterparty_item_no4383,2022-05-12,2022-06-09
1325,3406,usr180@gt.edu,usr460@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr180@gt.educounterparty_emailusr460@gt.eduproposer_item_no1325counterparty_item_no3406,2022-04-18,NULL
1326,2278,usr180@gt.edu,usr308@gt.edu,2022-04-15,2022-05-06,accepted,proposer_emailusr180@gt.educounterparty_emailusr308@gt.eduproposer_item_no1326counterparty_item_no2278,2022-04-15,2022-05-06
1327,5029,usr180@gt.edu,usr679@gt.edu,2022-04-19,2022-04-20,rejected,proposer_emailusr180@gt.educounterparty_emailusr679@gt.eduproposer_item_no1327counterparty_item_no5029,2022-04-19,2022-04-20
1332,2613,usr181@gt.edu,usr354@gt.edu,2022-04-22,2022-04-28,accepted,proposer_emailusr181@gt.educounterparty_emailusr354@gt.eduproposer_item_no1332counterparty_item_no2613,2022-04-22,2022-04-28
1341,1741,usr182@gt.edu,usr232@gt.edu,2022-04-15,2022-04-20,accepted,proposer_emailusr182@gt.educounterparty_emailusr232@gt.eduproposer_item_no1341counterparty_item_no1741,2022-04-15,2022-04-20
1343,1682,usr182@gt.edu,usr222@gt.edu,2022-06-14,NULL,unaccepted,proposer_emailusr182@gt.educounterparty_emailusr222@gt.eduproposer_item_no1343counterparty_item_no1682,2022-06-14,NULL
1343,5583,usr182@gt.edu,usr751@gt.edu,2022-05-18,2022-06-10,rejected,proposer_emailusr182@gt.educounterparty_emailusr751@gt.eduproposer_item_no1343counterparty_item_no5583,2022-05-18,2022-06-10
1348,1632,usr182@gt.edu,usr216@gt.edu,2022-05-19,2022-05-23,accepted,proposer_emailusr182@gt.educounterparty_emailusr216@gt.eduproposer_item_no1348counterparty_item_no1632,2022-05-19,2022-05-23
1349,3332,usr182@gt.edu,usr450@gt.edu,2022-05-05,2022-05-10,accepted,proposer_emailusr182@gt.educounterparty_emailusr450@gt.eduproposer_item_no1349counterparty_item_no3332,2022-05-05,2022-05-10
1351,430,usr183@gt.edu,usr059@gt.edu,2022-04-15,2022-04-21,rejected,proposer_emailusr183@gt.educounterparty_emailusr059@gt.eduproposer_item_no1351counterparty_item_no430,2022-04-15,2022-04-21
1353,1311,usr183@gt.edu,usr178@gt.edu,2022-05-23,2022-05-30,rejected,proposer_emailusr183@gt.educounterparty_emailusr178@gt.eduproposer_item_no1353counterparty_item_no1311,2022-05-23,2022-05-30
1354,592,usr184@gt.edu,usr081@gt.edu,2022-04-19,2022-04-20,accepted,proposer_emailusr184@gt.educounterparty_emailusr081@gt.eduproposer_item_no1354counterparty_item_no592,2022-04-19,2022-04-20
1357,270,usr184@gt.edu,usr039@gt.edu,2022-04-29,2022-05-04,rejected,proposer_emailusr184@gt.educounterparty_emailusr039@gt.eduproposer_item_no1357counterparty_item_no270,2022-04-29,2022-05-04
1357,1155,usr184@gt.edu,usr157@gt.edu,2022-05-12,2022-06-01,rejected,proposer_emailusr184@gt.educounterparty_emailusr157@gt.eduproposer_item_no1357counterparty_item_no1155,2022-05-12,2022-06-01
1358,2832,usr184@gt.edu,usr381@gt.edu,2022-04-18,2022-04-27,accepted,proposer_emailusr184@gt.educounterparty_emailusr381@gt.eduproposer_item_no1358counterparty_item_no2832,2022-04-18,2022-04-27
1360,260,usr184@gt.edu,usr038@gt.edu,2022-04-15,2022-04-25,rejected,proposer_emailusr184@gt.educounterparty_emailusr038@gt.eduproposer_item_no1360counterparty_item_no260,2022-04-15,2022-04-25
1360,1094,usr184@gt.edu,usr147@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr184@gt.educounterparty_emailusr147@gt.eduproposer_item_no1360counterparty_item_no1094,2022-05-05,NULL
1370,3316,usr185@gt.edu,usr448@gt.edu,2022-04-18,2022-05-10,accepted,proposer_emailusr185@gt.educounterparty_emailusr448@gt.eduproposer_item_no1370counterparty_item_no3316,2022-04-18,2022-05-10
1371,559,usr185@gt.edu,usr078@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr185@gt.educounterparty_emailusr078@gt.eduproposer_item_no1371counterparty_item_no559,2022-04-22,NULL
1372,2411,usr185@gt.edu,usr326@gt.edu,2022-05-03,2022-05-09,rejected,proposer_emailusr185@gt.educounterparty_emailusr326@gt.eduproposer_item_no1372counterparty_item_no2411,2022-05-03,2022-05-09
1372,3547,usr185@gt.edu,usr481@gt.edu,2022-05-31,2022-06-10,rejected,proposer_emailusr185@gt.educounterparty_emailusr481@gt.eduproposer_item_no1372counterparty_item_no3547,2022-05-31,2022-06-10
1373,40,usr185@gt.edu,usr007@gt.edu,2022-05-25,2022-06-14,accepted,proposer_emailusr185@gt.educounterparty_emailusr007@gt.eduproposer_item_no1373counterparty_item_no40,2022-05-25,2022-06-14
1374,1287,usr185@gt.edu,usr175@gt.edu,2022-05-17,2022-05-19,accepted,proposer_emailusr185@gt.educounterparty_emailusr175@gt.eduproposer_item_no1374counterparty_item_no1287,2022-05-17,2022-05-19
1375,2431,usr185@gt.edu,usr328@gt.edu,2022-05-09,NULL,unaccepted,proposer_emailusr185@gt.educounterparty_emailusr328@gt.eduproposer_item_no1375counterparty_item_no2431,2022-05-09,NULL
1378,6694,usr186@gt.edu,usr902@gt.edu,2022-04-27,2022-05-24,accepted,proposer_emailusr186@gt.educounterparty_emailusr902@gt.eduproposer_item_no1378counterparty_item_no6694,2022-04-27,2022-05-24
1379,6048,usr186@gt.edu,usr812@gt.edu,2022-04-22,2022-05-20,accepted,proposer_emailusr186@gt.educounterparty_emailusr812@gt.eduproposer_item_no1379counterparty_item_no6048,2022-04-22,2022-05-20
1380,5417,usr186@gt.edu,usr732@gt.edu,2022-04-15,2022-05-06,accepted,proposer_emailusr186@gt.educounterparty_emailusr732@gt.eduproposer_item_no1380counterparty_item_no5417,2022-04-15,2022-05-06
1381,5787,usr186@gt.edu,usr777@gt.edu,2022-04-20,2022-05-03,accepted,proposer_emailusr186@gt.educounterparty_emailusr777@gt.eduproposer_item_no1381counterparty_item_no5787,2022-04-20,2022-05-03
1385,3442,usr187@gt.edu,usr465@gt.edu,2022-04-22,2022-05-04,accepted,proposer_emailusr187@gt.educounterparty_emailusr465@gt.eduproposer_item_no1385counterparty_item_no3442,2022-04-22,2022-05-04
1386,169,usr187@gt.edu,usr025@gt.edu,2022-06-06,NULL,unaccepted,proposer_emailusr187@gt.educounterparty_emailusr025@gt.eduproposer_item_no1386counterparty_item_no169,2022-06-06,NULL
1387,1541,usr187@gt.edu,usr205@gt.edu,2022-04-26,2022-05-06,rejected,proposer_emailusr187@gt.educounterparty_emailusr205@gt.eduproposer_item_no1387counterparty_item_no1541,2022-04-26,2022-05-06
1388,492,usr187@gt.edu,usr067@gt.edu,2022-04-18,2022-05-09,rejected,proposer_emailusr187@gt.educounterparty_emailusr067@gt.eduproposer_item_no1388counterparty_item_no492,2022-04-18,2022-05-09
1388,4188,usr187@gt.edu,usr566@gt.edu,2022-05-12,2022-06-07,rejected,proposer_emailusr187@gt.educounterparty_emailusr566@gt.eduproposer_item_no1388counterparty_item_no4188,2022-05-12,2022-06-07
1391,1229,usr188@gt.edu,usr165@gt.edu,2022-05-02,2022-05-31,accepted,proposer_emailusr188@gt.educounterparty_emailusr165@gt.eduproposer_item_no1391counterparty_item_no1229,2022-05-02,2022-05-31
1393,6775,usr188@gt.edu,usr915@gt.edu,2022-04-19,2022-05-16,accepted,proposer_emailusr188@gt.educounterparty_emailusr915@gt.eduproposer_item_no1393counterparty_item_no6775,2022-04-19,2022-05-16
1394,6632,usr188@gt.edu,usr895@gt.edu,2022-04-26,2022-05-02,accepted,proposer_emailusr188@gt.educounterparty_emailusr895@gt.eduproposer_item_no1394counterparty_item_no6632,2022-04-26,2022-05-02
1399,1105,usr188@gt.edu,usr148@gt.edu,2022-04-27,2022-05-02,rejected,proposer_emailusr188@gt.educounterparty_emailusr148@gt.eduproposer_item_no1399counterparty_item_no1105,2022-04-27,2022-05-02
1400,5269,usr188@gt.edu,usr712@gt.edu,2022-04-15,2022-04-19,accepted,proposer_emailusr188@gt.educounterparty_emailusr712@gt.eduproposer_item_no1400counterparty_item_no5269,2022-04-15,2022-04-19
1402,1160,usr189@gt.edu,usr157@gt.edu,2022-05-04,2022-05-17,accepted,proposer_emailusr189@gt.educounterparty_emailusr157@gt.eduproposer_item_no1402counterparty_item_no1160,2022-05-04,2022-05-17
1407,1154,usr189@gt.edu,usr157@gt.edu,2022-05-24,2022-05-26,accepted,proposer_emailusr189@gt.educounterparty_emailusr157@gt.eduproposer_item_no1407counterparty_item_no1154,2022-05-24,2022-05-26
1410,2968,usr190@gt.edu,usr396@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr190@gt.educounterparty_emailusr396@gt.eduproposer_item_no1410counterparty_item_no2968,2022-04-21,NULL
1413,3891,usr191@gt.edu,usr526@gt.edu,2022-05-11,2022-05-31,accepted,proposer_emailusr191@gt.educounterparty_emailusr526@gt.eduproposer_item_no1413counterparty_item_no3891,2022-05-11,2022-05-31
1414,2822,usr191@gt.edu,usr380@gt.edu,2022-04-15,2022-04-25,rejected,proposer_emailusr191@gt.educounterparty_emailusr380@gt.eduproposer_item_no1414counterparty_item_no2822,2022-04-15,2022-04-25
1418,3682,usr191@gt.edu,usr500@gt.edu,2022-04-20,2022-04-25,accepted,proposer_emailusr191@gt.educounterparty_emailusr500@gt.eduproposer_item_no1418counterparty_item_no3682,2022-04-20,2022-04-25
1420,4738,usr191@gt.edu,usr640@gt.edu,2022-04-26,2022-05-02,accepted,proposer_emailusr191@gt.educounterparty_emailusr640@gt.eduproposer_item_no1420counterparty_item_no4738,2022-04-26,2022-05-02
1421,4914,usr191@gt.edu,usr663@gt.edu,2022-05-04,2022-05-12,accepted,proposer_emailusr191@gt.educounterparty_emailusr663@gt.eduproposer_item_no1421counterparty_item_no4914,2022-05-04,2022-05-12
1424,2093,usr192@gt.edu,usr280@gt.edu,2022-04-18,2022-04-19,accepted,proposer_emailusr192@gt.educounterparty_emailusr280@gt.eduproposer_item_no1424counterparty_item_no2093,2022-04-18,2022-04-19
1426,332,usr192@gt.edu,usr048@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr192@gt.educounterparty_emailusr048@gt.eduproposer_item_no1426counterparty_item_no332,2022-04-21,NULL
1427,6916,usr193@gt.edu,usr933@gt.edu,2022-05-13,2022-06-02,accepted,proposer_emailusr193@gt.educounterparty_emailusr933@gt.eduproposer_item_no1427counterparty_item_no6916,2022-05-13,2022-06-02
1429,5008,usr193@gt.edu,usr676@gt.edu,2022-04-21,2022-04-25,rejected,proposer_emailusr193@gt.educounterparty_emailusr676@gt.eduproposer_item_no1429counterparty_item_no5008,2022-04-21,2022-04-25
1433,7226,usr193@gt.edu,usr974@gt.edu,2022-05-27,NULL,unaccepted,proposer_emailusr193@gt.educounterparty_emailusr974@gt.eduproposer_item_no1433counterparty_item_no7226,2022-05-27,NULL
1434,1024,usr193@gt.edu,usr138@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr193@gt.educounterparty_emailusr138@gt.eduproposer_item_no1434counterparty_item_no1024,2022-05-02,NULL
1440,2785,usr194@gt.edu,usr375@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr194@gt.educounterparty_emailusr375@gt.eduproposer_item_no1440counterparty_item_no2785,2022-06-01,NULL
1443,776,usr194@gt.edu,usr102@gt.edu,2022-04-19,2022-04-26,accepted,proposer_emailusr194@gt.educounterparty_emailusr102@gt.eduproposer_item_no1443counterparty_item_no776,2022-04-19,2022-04-26
1444,6534,usr194@gt.edu,usr881@gt.edu,2022-04-22,2022-05-11,accepted,proposer_emailusr194@gt.educounterparty_emailusr881@gt.eduproposer_item_no1444counterparty_item_no6534,2022-04-22,2022-05-11
